,TRADE_DAYS,S_INFO_EXCHMARKET
0,19911213,SHFE
1,19970508,SHFE
2,20120615,CFFEX
3,19920903,CZCE
4,19960424,CZCE
5,20071211,CFFEX
6,19960729,CZCE
7,20031117,SHFE
8,20020515,DCE
9,19930630,DCE
10,19981014,CZCE
11,20130718,CZCE
12,20130221,CFFEX
13,20010215,DCE
14,19990312,CZCE
15,19990427,CZCE
16,20151116,SHFE
17,20110510,DCE
18,20130724,CZCE
19,19940621,SHFE
20,20130701,CFFEX
21,19940214,SHFE
22,20010418,CZCE
23,19940221,DCE
24,19930422,CZCE
25,19930429,SHFE
26,19960320,SHFE
27,20010410,SHFE
28,20030815,CZCE
29,19910201,CZCE
30,19911105,CZCE
31,20030723,SHFE
32,19990409,CZCE
33,20161122,SGE
34,20160426,CFFEX
35,20170726,SHFE
36,20131230,CFFEX
37,20020610,DCE
38,20000608,SHFE
39,20120427,SHFE
40,19920903,SHFE
41,19980211,SHFE
42,20110630,DCE
43,19930318,DCE
44,19940531,CZCE
45,19960425,DCE
46,20111227,DCE
47,20020410,DCE
48,20151013,SHFE
49,19980507,SHFE
50,19940728,SHFE
51,20150227,CFFEX
52,19901204,CZCE
53,19990317,DCE
54,20110210,DCE
55,20031118,SHFE
56,19970429,DCE
57,19980713,SHFE
58,19960829,CZCE
59,20170731,DCE
60,19930409,CZCE
61,19960703,SHFE
62,20150728,DCE
63,20110804,DCE
64,20121112,SHFE
65,19961003,CZCE
66,20131209,SHFE
67,20120320,CZCE
68,20210104,SGE
69,20210105,SGE
70,20210106,SGE
71,20210107,SGE
72,20210108,SGE
73,20210111,SGE
74,20210112,SGE
75,20210113,SGE
76,20210114,SGE
77,20210115,SGE
78,20210118,SGE
79,20210119,SGE
80,20210120,SGE
81,20210121,SGE
82,20210122,SGE
83,20210125,SGE
84,20210126,SGE
85,20210127,SGE
86,20210128,SGE
87,20210129,SGE
88,20210201,SGE
89,20210202,SGE
90,20210203,SGE
91,20210204,SGE
92,20210205,SGE
93,20210208,SGE
94,20210209,SGE
95,20210210,SGE
96,20210218,SGE
97,20210219,SGE
98,20210222,SGE
99,20210223,SGE
100,20210224,SGE
101,20210225,SGE
102,20210226,SGE
103,20210301,SGE
104,20210302,SGE
