,symbol,code,hours,exname,daynight
0,T1906.CFE,T,9:30-11:30 13:00-15:15,CFFEX,0
1,TF1906.CFE,TF,9:30-11:30 13:00-15:15,CFFEX,0
2,TA1001.CZC,TA,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
3,JD1907.DCE,JD,9:00-11:30 13:30-15:00,DCE,0
4,CS1505.DCE,CS,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
5,JM2304.DCE,JM,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
6,ZC506.CZC,ZC,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
7,NI1612.SHF,NI,9:00-11:30 13:30-15:00 21:00-1:00,SHFE,1
8,TC604.CZC,TC,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
9,AL1405.SHF,AL,9:00-11:30 13:30-15:00 21:00-1:00,SHFE,1
10,WT601.CZC,WT,9:00-11:30 13:30-15:00,CZCE,0
11,HC1602.SHF,HC,9:00-11:30 13:30-15:00 21:00-23:00,SHFE,1
12,IF1507.CFE,IF,9:30-11:30 13:00-15:00,CFFEX,0
13,BU1511.SHF,BU,9:00-11:30 13:30-15:00 21:00-23:00,SHFE,1
14,RU9804.SHF,RU,9:00-11:30 13:30-15:00 21:00-23:00,SHFE,1
15,FU1605.SHF,FU,9:00-11:30 13:30-15:00 21:00-23:00,SHFE,1
16,NR2408.INE,NR,9:00-10:15 10:30-11:30 13:30-15:00 21:00-23:00,INE,1
17,SR503.CZC,SR,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
18,CF309.CZC,CF,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
19,CJ309.CZC,CJ,9:00-11:30 13:30-15:00,CZCE,0
20,CY309.CZC,CY,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
21,FG309.CZC,FG,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
22,JR309.CZC,JR,9:00-11:30 13:30-15:00,CZCE,0
23,LR309.CZC,LR,9:00-11:30 13:30-15:00,CZCE,0
24,MA309.CZC,MA,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
25,OI309.CZC,OI,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
26,PF309.CZC,PF,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
27,PM309.CZC,PM,9:00-11:30 13:30-15:00,CZCE,0
28,RI309.CZC,RI,9:00-11:30 13:30-15:00,CZCE,0
29,RM309.CZC,RM,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
30,RS309.CZC,RS,9:00-11:30 13:30-15:00,CZCE,0
31,SA309.CZC,SA,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
32,SF309.CZC,SF,9:00-11:30 13:30-15:00,CZCE,0
33,SM309.CZC,SM,9:00-11:30 13:30-15:00,CZCE,0
34,UR309.CZC,UR,9:00-11:30 13:30-15:00,CZCE,0
35,WH309.CZC,WH,9:00-11:30 13:30-15:00,CZCE,0
36,C1003.DCE,C,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
37,M1708.DCE,M,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
38,CU2404.SHF,CU,9:00-11:30 13:30-15:00 21:00-1:00,SHFE,1
39,V1603.DCE,V,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
40,EB2103.DCE,EB,9:00-10:15 10:30-11:30 13:30-15:00 21:00-23:00,DCE,1
41,EG2103.DCE,EG,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
42,AG1608.SHF,AG,9:00-11:30 13:30-15:00 21:00-2:30,SHFE,1
43,ZN2506.SHF,ZN,9:00-11:30 13:30-15:00 21:00-1:00,SHFE,1
44,AU1610.SHF,AU,9:00-11:30 13:30-15:00 21:00-2:30,SHFE,1
45,P2501.DCE,P,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
46,IC1809.CFE,IC,9:30-11:30 13:00-15:00,CFFEX,0
47,IH1809.CFE,IH,9:30-11:30 13:00-15:00,CFFEX,0
48,Y1508.DCE,Y,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
49,FB2503.DCE,FB,9:00-11:30 13:30-15:00,DCE,0
50,TS2112.CFE,TS,9:30-11:30 13:00-15:15,CFFEX,0
51,A2203.DCE,A,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
52,B2203.DCE,B,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
53,BB2203.DCE,BB,9:00-11:30 13:30-15:00,DCE,0
54,I2203.DCE,I,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
55,J2203.DCE,J,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
56,L2203.DCE,L,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
57,PP2203.DCE,PP,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
58,RR2203.DCE,RR,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
59,AP203.CZC,AP,9:00-11:30 13:30-15:00,CZCE,0
60,PB2506.SHF,PB,9:00-11:30 13:30-15:00 21:00-1:00,SHFE,1
61,SC2403.INE,SC,9:00-10:15 10:30-11:30 13:30-15:00 21:00-02:30,INE,1
62,LU2203.INE,LU,9:00-10:15 10:30-11:30 13:30-15:00 21:00-23:00,INE,1
63,BC2412.INE,BC,9:00-10:15 10:30-11:30 13:30-15:00 21:00-01:00,INE,1
64,SS2505.SHF,SS,9:00-11:30 13:30-15:00 21:00-1:00,SHFE,1
65,IM2306.CFE,IM,9:30-11:30 13:00-15:00,CFFEX,0
66,SN1807.SHF,SN,9:00-11:30 13:30-15:00 21:00-1:00,SHFE,1
67,RB1807.SHF,RB,9:00-11:30 13:30-15:00 21:00-23:00,SHFE,1
68,WR1807.SHF,WR,9:00-11:30 13:30-15:00,SHFE,0
69,LH2109.DCE,LH,9:00-11:30 13:30-15:00,DCE,0
70,WS607.CZC,WS,9:00-11:30 13:30-15:00,CZCE,0
71,PG2405.DCE,PG,9:00-11:30 13:30-15:00 21:00-23:00,DCE,1
72,ME402.CZC,ME,9:00-11:30 13:30-15:00,CZCE,1
73,SI2506.GFE,SI,9:00-10:15 10:30-11:30 13:30-15:00,GFEX,0
74,SP2112.SHF,SP,9:00-11:30 13:30-15:00 21:00-23:00,SHFE,1
75,RO101.CZC,RO,9:00-11:30 13:30-15:00,CZCE,0
76,SH412.CZC,SH,9:00-11:30 13:30-15:00 21:00-23:00,CZCE,1
77,PK505.CZC,PK,9:00-11:30 13:30-15:00,CZCE,0
78,BR2412.SHF,BR,9:00-10:15 10:30-11:30 13:30-15:00 21:00-23:00,SHFE,1
79,LC2506.GFE,LC,9:00-10:15 10:30-11:30 13:30-15:00,GFEX,0
80,ER107.CZC,ER,9:00-11:30 13:30-15:00,CZCE,1
81,TS1903-S.CFE,TS-S,9:15-11:30 13:00-15:15,CFFEX,0
82,TT1903-S.CFE,TT-S,9:15-11:30 13:00-15:15,CFFEX,0
