symbol,contract,start,end
AG,AG1209.SHF,20120510,20120723
AG,AG1212.SHF,20120724,20121101
AG,AG1301.SHF,20121102,20121214
AG,AG1306.SHF,20121217,20130506
AG,AG1312.SHF,20130507,20131126
AG,AG1406.SHF,20131127,20140509
AG,AG1412.SHF,20140512,20141105
AG,AG1506.SHF,20141106,20150506
AG,AG1512.SHF,20150507,20151116
AG,AG1606.SHF,20151117,20160506
AG,AG1612.SHF,20160509,20161110
AG,AG1706.SHF,20161111,20170509
AG,AG1712.SHF,20170510,20171120
AG,AG1806.SHF,20171121,20180502
AG,AG1812.SHF,20180503,20181101
AG,AG1906.SHF,20181102,20190507
AG,AG1912.SHF,20190508,20191112
AG,AG2002.SHF,20191113,20191224
AG,AG2006.SHF,20191225,20200518
AG,AG2012.SHF,20200519,20201126
AG,AG2102.SHF,20201127,20210126
AG,AG2106.SHF,20210127,20210526
AG,AG2112.SHF,20210527,20211129
AG,AG2206.SHF,20211130,20220526
AG,AG2212.SHF,20220527,20221129
AG,AG2302.SHF,20221130,20230111
AG,AG2306.SHF,20230112,20230523
AG,AG2308.SHF,20230524,20230714
AG,AG2310.SHF,20230717,20230905
AG,AG2312.SHF,20230906,20231106
AG,AG2402.SHF,20231107,20240117
AG,AG2406.SHF,20240118,20240514
AG,AG2408.SHF,20240515,20240628
