symbol,contract,start,end
AL,AL1002.SHF,20091117,20091207
AL,AL1003.SHF,20091208,20091229
AL,AL1004.SHF,20091230,20100122
AL,AL1005.SHF,20100125,20100302
AL,AL1006.SHF,20100303,20100407
AL,AL1007.SHF,20100408,20100517
AL,AL1008.SHF,20100518,20100607
AL,AL1009.SHF,20100608,20100716
AL,AL1010.SHF,20100719,20100803
AL,AL1011.SHF,20100804,20100830
AL,AL1012.SHF,20100831,20101011
AL,AL1101.SHF,20101012,20101103
AL,AL1102.SHF,20101104,20101202
AL,AL1103.SHF,20101203,20110111
AL,AL1104.SHF,20110112,20110218
AL,AL1105.SHF,20110221,20110328
AL,AL1106.SHF,20110329,20110427
AL,AL1107.SHF,20110428,20110607
AL,AL1108.SHF,20110608,20110630
AL,AL1109.SHF,20110701,20110719
AL,AL1110.SHF,20110720,20110815
AL,AL1111.SHF,20110816,20110922
AL,AL1112.SHF,20110923,20111026
AL,AL1201.SHF,20111027,20111121
AL,AL1202.SHF,20111122,20111209
AL,AL1203.SHF,20111212,20120110
AL,AL1204.SHF,20120111,20120209
AL,AL1205.SHF,20120210,20120323
AL,AL1206.SHF,20120326,20120411
AL,AL1207.SHF,20120412,20120503
AL,AL1208.SHF,20120504,20120524
AL,AL1209.SHF,20120525,20120625
AL,AL1210.SHF,20120626,20120726
AL,AL1211.SHF,20120727,20120904
AL,AL1212.SHF,20120905,20121101
AL,AL1301.SHF,20121102,20121210
AL,AL1303.SHF,20121211,20130129
AL,AL1304.SHF,20130130,20130204
AL,AL1305.SHF,20130205,20130306
AL,AL1306.SHF,20130307,20130425
AL,AL1307.SHF,20130426,20130502
AL,AL1308.SHF,20130503,20130603
AL,AL1309.SHF,20130604,20130618
AL,AL1310.SHF,20130619,20130816
AL,AL1311.SHF,20130819,20130821
AL,AL1312.SHF,20130822,20131023
AL,AL1401.SHF,20131024,20131121
AL,AL1402.SHF,20131122,20131212
AL,AL1403.SHF,20131213,20131231
AL,AL1404.SHF,20140102,20140220
AL,AL1405.SHF,20140221,20140307
AL,AL1406.SHF,20140310,20140423
AL,AL1407.SHF,20140424,20140523
AL,AL1408.SHF,20140526,20140625
AL,AL1409.SHF,20140626,20140722
AL,AL1410.SHF,20140723,20140825
AL,AL1411.SHF,20140826,20140917
AL,AL1412.SHF,20140918,20141022
AL,AL1501.SHF,20141023,20141127
AL,AL1502.SHF,20141128,20141217
AL,AL1503.SHF,20141218,20150126
AL,AL1504.SHF,20150127,20150226
AL,AL1505.SHF,20150227,20150320
AL,AL1506.SHF,20150323,20150422
AL,AL1507.SHF,20150423,20150526
AL,AL1508.SHF,20150527,20150624
AL,AL1509.SHF,20150625,20150720
AL,AL1510.SHF,20150721,20150827
AL,AL1511.SHF,20150828,20150918
AL,AL1512.SHF,20150921,20151021
AL,AL1601.SHF,20151022,20151120
AL,AL1602.SHF,20151123,20151216
AL,AL1603.SHF,20151217,20160127
AL,AL1604.SHF,20160128,20160226
AL,AL1605.SHF,20160229,20160330
AL,AL1606.SHF,20160331,20160427
