symbol,contract,start,end
AU,AU1006.SHF,20091013,20100413
AU,AU1012.SHF,20100414,20101022
AU,AU1106.SHF,20101025,20110415
AU,AU1112.SHF,20110418,20111025
AU,AU1206.SHF,20111026,20120411
AU,AU1212.SHF,20120412,20121031
AU,AU1306.SHF,20121101,20130422
AU,AU1312.SHF,20130423,20131101
AU,AU1406.SHF,20131104,20140505
AU,AU1412.SHF,20140506,20141103
AU,AU1506.SHF,20141104,20150506
AU,AU1512.SHF,20150507,20151110
AU,AU1606.SHF,20151111,20160503
AU,AU1612.SHF,20160504,20161108
AU,AU1706.SHF,20161109,20170428
AU,AU1712.SHF,20170502,20171109
AU,AU1806.SHF,20171110,20180502
AU,AU1812.SHF,20180503,20181107
AU,AU1906.SHF,20181108,20190430
AU,AU1912.SHF,20190506,20191112
AU,AU2006.SHF,20191113,20200515
AU,AU2012.SHF,20200518,20201126
AU,AU2102.SHF,20201127,20210114
AU,AU2106.SHF,20210115,20210527
AU,AU2112.SHF,20210528,20211125
AU,AU2202.SHF,20211126,20220118
AU,AU2206.SHF,20220119,20220527
AU,AU2208.SHF,20220530,20220711
AU,AU2212.SHF,20220712,20221114
AU,AU2302.SHF,20221115,20221230
AU,AU2304.SHF,20230103,20230313
AU,AU2306.SHF,20230314,20230428
AU,AU2308.SHF,20230504,20230705
AU,AU2310.SHF,20230706,20230904
AU,AU2312.SHF,20230905,20231101
AU,AU2402.SHF,20231102,20240102
AU,AU2404.SHF,20240103,20240304
AU,AU2406.SHF,20240305,20240430
AU,AU2408.SHF,20240506,20240628
