symbol,contract,start,end
A,A1009.DCE,20091026,20100421
A,A1101.DCE,20100422,20100720
A,A1105.DCE,20100721,20101022
A,A1109.DCE,20101025,20101231
A,A1201.DCE,20110104,20110713
A,A1205.DCE,20110714,20111024
A,A1209.DCE,20111025,20120320
A,A1301.DCE,20120321,20120619
A,A1305.DCE,20120620,20130131
A,A1309.DCE,20130201,20130606
A,A1401.DCE,20130607,20131015
A,A1405.DCE,20131016,20131230
A,A1409.DCE,20131231,20140325
A,A1501.DCE,20140326,20141124
A,A1505.DCE,20141125,20150408
A,A1509.DCE,20150409,20150615
A,A1601.DCE,20150616,20151104
A,A1605.DCE,20151105,20160308
A,A1609.DCE,20160309,20160713
A,A1701.DCE,20160714,20161128
A,A1705.DCE,20161129,20170322
A,A1709.DCE,20170323,20170803
A,A1801.DCE,20170804,20171208
A,A1805.DCE,20171211,20180404
A,A1809.DCE,20180409,20180727
A,A1901.DCE,20180730,20181221
A,A1905.DCE,20181224,20190419
A,A1909.DCE,20190422,20190809
A,A2001.DCE,20190812,20191203
A,A2005.DCE,20191204,20200407
A,A2009.DCE,20200408,20200818
A,A2101.DCE,20200819,20201217
A,A2105.DCE,20201218,20210421
A,A2109.DCE,20210422,20210816
A,A2111.DCE,20210817,20211020
A,A2201.DCE,20211021,20211208
A,A2203.DCE,20211209,20220223
A,A2207.DCE,20220224,20220615
A,A2209.DCE,20220616,20220825
A,A2211.DCE,20220826,20221018
A,A2301.DCE,20221019,20221213
A,A2305.DCE,20221214,20230407
A,A2307.DCE,20230410,20230614
A,A2309.DCE,20230615,20230817
A,A2311.DCE,20230818,20231018
A,A2401.DCE,20231019,20231214
A,A2403.DCE,20231215,20240223
A,A2405.DCE,20240226,20240422
A,A2407.DCE,20240423,20240617
A,A2409.DCE,20240618,20240628
