symbol,contract,start,end
BB,BB1405.DCE,20131206,20140417
BB,BB1409.DCE,20140418,20140828
BB,BB1501.DCE,20140829,20141230
BB,BB1502.DCE,20141231,20150128
BB,BB1505.DCE,20150129,20150430
BB,BB1509.DCE,20150504,20150916
BB,BB1511.DCE,20150917,20151113
BB,BB1601.DCE,20151116,20160115
BB,BB1609.DCE,20160118,20160401
BB,BB1701.DCE,20160405,20160517
BB,BB1609.DCE,20160518,20160606
BB,BB1701.DCE,20160607,20170113
BB,BB1703.DCE,20170116,20170313
BB,BB1704.DCE,20170314,20170320
BB,BB1705.DCE,20170321,20170322
BB,BB1704.DCE,20170323,20170405
BB,BB1705.DCE,20170406,20170512
BB,BB1706.DCE,20170515,20170515
BB,BB1804.DCE,20170516,20180112
BB,BB1805.DCE,20180115,20180507
BB,BB1809.DCE,20180508,20180914
BB,BB1903.DCE,20180917,20190301
BB,BB1904.DCE,20190304,20190312
BB,BB1910.DCE,20190313,20190909
BB,BB2001.DCE,20190910,20191024
BB,BB2003.DCE,20191025,20200305
BB,BB2004.DCE,20200306,20200402
BB,BB2005.DCE,20200403,20200506
BB,BB2006.DCE,20200507,20200601
BB,BB2008.DCE,20200602,20200805
BB,BB2009.DCE,20200806,20200907
BB,BB2012.DCE,20200908,20201125
BB,BB2101.DCE,20201126,20201127
BB,BB2012.DCE,20201130,20201211
BB,BB2101.DCE,20201214,20210114
BB,BB2102.DCE,20210115,20210218
BB,BB2103.DCE,20210219,20210311
BB,BB2104.DCE,20210312,20210414
BB,BB2105.DCE,20210415,20210506
BB,BB2106.DCE,20210507,20210510
BB,BB2105.DCE,20210511,20210518
BB,BB2106.DCE,20210519,20210604
BB,BB2109.DCE,20210607,20210607
BB,BB2106.DCE,20210608,20210611
BB,BB2107.DCE,20210615,20210713
BB,BB2108.DCE,20210714,20210812
BB,BB2109.DCE,20210813,20210909
BB,BB2110.DCE,20210910,20211020
BB,BB2111.DCE,20211021,20211111
BB,BB2112.DCE,20211112,20211213
BB,BB2201.DCE,20211214,20220114
BB,BB2202.DCE,20220117,20220217
BB,BB2203.DCE,20220218,20220309
BB,BB2204.DCE,20220310,20220310
BB,BB2205.DCE,20220311,20220517
BB,BB2206.DCE,20220518,20220614
BB,BB2207.DCE,20220615,20220713
BB,BB2208.DCE,20220714,20220811
BB,BB2209.DCE,20220812,20220914
BB,BB2210.DCE,20220915,20221020
BB,BB2211.DCE,20221021,20221111
BB,BB2212.DCE,20221114,20221213
BB,BB2301.DCE,20221214,20230113
BB,BB2302.DCE,20230116,20230213
BB,BB2303.DCE,20230214,20230313
BB,BB2304.DCE,20230314,20230414
BB,BB2305.DCE,20230417,20230516
BB,BB2306.DCE,20230517,20230613
BB,BB2307.DCE,20230614,20230713
BB,BB2308.DCE,20230714,20230811
BB,BB2309.DCE,20230814,20230913
BB,BB2310.DCE,20230914,20231019
BB,BB2311.DCE,20231020,20231113
BB,BB2312.DCE,20231114,20231213
BB,BB2401.DCE,20231214,20240112
BB,BB2402.DCE,20240115,20240221
BB,BB2403.DCE,20240222,20240313
BB,BB2404.DCE,20240314,20240415
BB,BB2405.DCE,20240416,20240506
BB,BB2502.DCE,20240507,20240507
BB,BB2501.DCE,20240508,20240628
