symbol,contract,start,end
BU,BU1402.SHF,20131009,20140213
BU,BU1406.SHF,20140214,20140519
BU,BU1409.SHF,20140520,20140915
BU,BU1412.SHF,20140916,20141210
BU,BU1506.SHF,20141211,20150601
BU,BU1509.SHF,20150602,20150824
BU,BU1512.SHF,20150825,20151125
BU,BU1601.SHF,20151126,20151221
BU,BU1606.SHF,20151222,20160408
BU,BU1609.SHF,20160411,20160801
BU,BU1612.SHF,20160802,20161110
BU,BU1706.SHF,20161111,20170424
BU,BU1709.SHF,20170425,20170801
BU,BU1712.SHF,20170802,20171120
BU,BU1806.SHF,20171121,20180502
BU,BU1812.SHF,20180503,20181121
BU,BU1906.SHF,20181122,20190430
BU,BU1912.SHF,20190506,20191126
BU,BU2006.SHF,20191127,20200513
BU,BU2012.SHF,20200514,20201130
BU,BU2106.SHF,20201201,20210526
BU,BU2109.SHF,20210527,20210816
BU,BU2112.SHF,20210817,20211126
BU,BU2206.SHF,20211129,20220512
BU,BU2209.SHF,20220513,20220808
BU,BU2212.SHF,20220809,20221102
BU,BU2301.SHF,20221103,20221205
BU,BU2302.SHF,20221206,20221222
BU,BU2306.SHF,20221223,20230419
BU,BU2307.SHF,20230420,20230510
BU,BU2308.SHF,20230511,20230614
BU,BU2310.SHF,20230615,20230810
BU,BU2311.SHF,20230811,20231012
BU,BU2401.SHF,20231013,20231122
BU,BU2402.SHF,20231123,20231206
BU,BU2403.SHF,20231207,20240131
BU,BU2406.SHF,20240201,20240508
BU,BU2409.SHF,20240509,20240628
