symbol,contract,start,end
B,B1009.DCE,20091120,20100203
B,B1101.DCE,20100204,20100224
B,B1009.DCE,20100225,20100225
B,B1101.DCE,20100226,20101021
B,B1105.DCE,20101022,20101109
B,B1109.DCE,20101110,20110209
B,B1201.DCE,20110210,20110324
B,B1203.DCE,20110325,20110615
B,B1205.DCE,20110616,20110627
B,B1201.DCE,20110628,20110714
B,B1205.DCE,20110715,20110927
B,B1209.DCE,20110928,20111012
B,B1205.DCE,20111013,20111018
B,B1209.DCE,20111019,20120425
B,B1301.DCE,20120426,20120508
B,B1303.DCE,20120509,20120510
B,B1301.DCE,20120511,20120514
B,B1303.DCE,20120515,20120618
B,B1305.DCE,20120619,20130328
B,B1309.DCE,20130329,20130912
B,B1401.DCE,20130913,20131219
B,B1407.DCE,20131220,20140210
B,B1409.DCE,20140211,20140915
B,B1505.DCE,20140916,20150408
B,B1509.DCE,20150409,20150915
B,B1601.DCE,20150916,20150923
B,B1605.DCE,20150924,20160106
B,B1611.DCE,20160107,20160107
B,B1605.DCE,20160108,20160125
B,B1701.DCE,20160126,20160126
B,B1605.DCE,20160127,20160203
B,B1701.DCE,20160204,20160308
B,B1607.DCE,20160309,20160405
B,B1701.DCE,20160406,20160411
B,B1703.DCE,20160412,20160412
B,B1701.DCE,20160413,20160413
B,B1609.DCE,20160414,20160414
B,B1701.DCE,20160415,20160415
B,B1703.DCE,20160418,20160422
B,B1701.DCE,20160425,20160426
B,B1605.DCE,20160427,20160427
B,B1609.DCE,20160428,20160429
B,B1607.DCE,20160503,20160713
B,B1609.DCE,20160714,20160715
B,B1701.DCE,20160718,20160718
B,B1611.DCE,20160719,20160810
B,B1703.DCE,20160811,20170104
B,B1705.DCE,20170105,20170110
B,B1703.DCE,20170111,20170119
B,B1705.DCE,20170120,20170120
B,B1703.DCE,20170123,20170126
B,B1705.DCE,20170203,20170207
B,B1703.DCE,20170208,20170220
B,B1705.DCE,20170221,20170221
B,B1703.DCE,20170222,20170301
B,B1705.DCE,20170302,20170303
B,B1709.DCE,20170306,20170306
B,B1705.DCE,20170307,20170310
B,B1709.DCE,20170313,20170313
B,B1705.DCE,20170314,20170315
B,B1709.DCE,20170316,20170531
B,B1805.DCE,20170601,20180207
B,B1809.DCE,20180208,20180719
B,B1901.DCE,20180720,20180830
B,B1905.DCE,20180831,20190403
B,B1906.DCE,20190404,20190430
B,B1909.DCE,20190506,20190801
B,B1910.DCE,20190802,20190830
B,B1911.DCE,20190902,20191008
B,B1912.DCE,20191009,20191101
B,B2001.DCE,20191104,20191202
B,B2002.DCE,20191203,20200102
B,B2003.DCE,20200103,20200211
B,B2005.DCE,20200212,20200402
B,B2006.DCE,20200403,20200522
B,B2007.DCE,20200525,20200619
B,B2008.DCE,20200622,20200707
B,B2009.DCE,20200708,20200810
B,B2010.DCE,20200811,20200908
B,B2011.DCE,20200909,20201016
B,B2012.DCE,20201019,20201113
B,B2102.DCE,20201116,20210115
B,B2103.DCE,20210118,20210222
B,B2104.DCE,20210223,20210308
B,B2105.DCE,20210309,20210414
B,B2106.DCE,20210415,20210517
B,B2107.DCE,20210518,20210617
B,B2108.DCE,20210618,20210713
B,B2109.DCE,20210714,20210817
B,B2110.DCE,20210818,20210917
B,B2111.DCE,20210922,20211022
B,B2112.DCE,20211025,20211108
B,B2201.DCE,20211109,20211228
B,B2202.DCE,20211229,20220124
B,B2203.DCE,20220125,20220225
B,B2204.DCE,20220228,20220318
B,B2205.DCE,20220321,20220426
B,B2206.DCE,20220427,20220524
B,B2207.DCE,20220525,20220627
B,B2209.DCE,20220628,20220825
B,B2210.DCE,20220826,20220926
B,B2211.DCE,20220927,20221028
B,B2212.DCE,20221031,20221124
B,B2301.DCE,20221125,20221228
B,B2302.DCE,20221229,20230118
B,B2303.DCE,20230119,20230215
B,B2304.DCE,20230216,20230323
B,B2305.DCE,20230324,20230421
B,B2306.DCE,20230424,20230522
B,B2307.DCE,20230523,20230614
B,B2308.DCE,20230615,20230720
B,B2309.DCE,20230721,20230817
B,B2310.DCE,20230818,20230920
B,B2311.DCE,20230921,20231027
B,B2312.DCE,20231030,20231117
B,B2401.DCE,20231120,20231218
B,B2402.DCE,20231219,20240126
B,B2403.DCE,20240129,20240227
B,B2405.DCE,20240228,20240423
B,B2409.DCE,20240424,20240628
