symbol,contract,start,end
CF,CF1005.CZC,20091102,20100111
CF,CF1009.CZC,20100112,20100428
CF,CF1101.CZC,20100429,20100903
CF,CF1105.CZC,20100906,20101125
CF,CF1109.CZC,20101126,20110613
CF,CF1201.CZC,20110614,20110812
CF,CF1205.CZC,20110815,20120207
CF,CF1209.CZC,20120208,20120601
CF,CF1301.CZC,20120604,20121105
CF,CF1305.CZC,20121106,20130129
CF,CF1309.CZC,20130130,20130613
CF,CF1401.CZC,20130614,20131011
CF,CF1405.CZC,20131014,20140317
CF,CF1501.CZC,20140318,20141111
CF,CF1505.CZC,20141112,20150319
CF,CF509.CZC,20150320,20150701
CF,CF601.CZC,20150702,20151021
CF,CF605.CZC,20151022,20160202
CF,CF609.CZC,20160203,20160620
CF,CF701.CZC,20160621,20161121
CF,CF705.CZC,20161122,20170330
CF,CF709.CZC,20170331,20170802
CF,CF801.CZC,20170803,20171127
CF,CF805.CZC,20171128,20180323
CF,CF809.CZC,20180326,20180511
CF,CF901.CZC,20180514,20181120
CF,CF905.CZC,20181121,20190402
CF,CF909.CZC,20190403,20190807
CF,CF001.CZC,20190808,20191125
CF,CF005.CZC,20191126,20200331
CF,CF009.CZC,20200401,20200811
CF,CF101.CZC,20200812,20201208
CF,CF105.CZC,20201209,20210409
CF,CF109.CZC,20210412,20210806
CF,CF201.CZC,20210809,20211203
CF,CF205.CZC,20211206,20220415
CF,CF209.CZC,20220418,20220801
CF,CF301.CZC,20220802,20221201
CF,CF305.CZC,20221202,20230407
CF,CF309.CZC,20230410,20230720
CF,CF401.CZC,20230721,20231130
CF,CF405.CZC,20231201,20240410
CF,CF409.CZC,20240411,20240628
