symbol,contract,start,end
CJ,CJ912.CZC,20190430,20191105
CJ,CJ001.CZC,20191106,20191202
CJ,CJ005.CZC,20191203,20200402
CJ,CJ009.CZC,20200403,20200820
CJ,CJ101.CZC,20200821,20201218
CJ,CJ105.CZC,20201221,20210412
CJ,CJ109.CZC,20210413,20210723
CJ,CJ201.CZC,20210726,20211122
CJ,CJ205.CZC,20211123,20220407
CJ,CJ209.CZC,20220408,20220718
CJ,CJ301.CZC,20220719,20221212
CJ,CJ305.CZC,20221213,20230417
CJ,CJ309.CZC,20230418,20230807
CJ,CJ401.CZC,20230808,20231201
CJ,CJ405.CZC,20231204,20240409
CJ,CJ409.CZC,20240410,20240628
