symbol,contract,start,end
CS,CS1505.DCE,20141219,20150402
CS,CS1509.DCE,20150403,20150727
CS,CS1601.DCE,20150728,20151028
CS,CS1605.DCE,20151029,20160318
CS,CS1609.DCE,20160321,20160627
CS,CS1701.DCE,20160628,20161121
CS,CS1705.DCE,20161122,20170321
CS,CS1709.DCE,20170322,20170807
CS,CS1801.DCE,20170808,20171201
CS,CS1805.DCE,20171204,20180330
CS,CS1809.DCE,20180402,20180806
CS,CS1901.DCE,20180807,20181206
CS,CS1905.DCE,20181207,20190415
CS,CS1909.DCE,20190416,20190822
CS,CS2001.DCE,20190823,20191212
CS,CS2005.DCE,20191213,20200409
CS,CS2009.DCE,20200410,20200824
CS,CS2101.DCE,20200825,20201211
CS,CS2105.DCE,20201214,20210420
CS,CS2107.DCE,20210421,20210622
CS,CS2109.DCE,20210623,20210825
CS,CS2111.DCE,20210826,20211028
CS,CS2203.DCE,20211029,20211102
CS,CS2201.DCE,20211103,20211220
CS,CS2203.DCE,20211221,20220218
CS,CS2205.DCE,20220221,20220324
CS,CS2207.DCE,20220325,20220622
CS,CS2209.DCE,20220623,20220823
CS,CS2211.DCE,20220824,20221024
CS,CS2301.DCE,20221025,20221226
CS,CS2303.DCE,20221227,20230213
CS,CS2305.DCE,20230214,20230404
CS,CS2307.DCE,20230406,20230615
CS,CS2309.DCE,20230616,20230814
CS,CS2311.DCE,20230815,20231020
CS,CS2401.DCE,20231023,20231219
CS,CS2403.DCE,20231220,20240207
CS,CS2405.DCE,20240208,20240419
CS,CS2407.DCE,20240422,20240618
CS,CS2409.DCE,20240619,20240628
