symbol,contract,start,end
CU,CU1003.SHF,20091127,20091225
CU,CU1004.SHF,20091228,20100119
CU,CU1005.SHF,20100120,20100223
CU,CU1006.SHF,20100224,20100326
CU,CU1007.SHF,20100329,20100428
CU,CU1008.SHF,20100429,20100527
CU,CU1009.SHF,20100528,20100629
CU,CU1010.SHF,20100630,20100728
CU,CU1011.SHF,20100729,20100824
CU,CU1012.SHF,20100825,20100930
CU,CU1101.SHF,20101008,20101026
CU,CU1102.SHF,20101027,20101119
CU,CU1103.SHF,20101122,20101230
CU,CU1104.SHF,20101231,20110201
CU,CU1105.SHF,20110209,20110315
CU,CU1106.SHF,20110316,20110421
CU,CU1107.SHF,20110422,20110524
CU,CU1108.SHF,20110525,20110627
CU,CU1109.SHF,20110628,20110721
CU,CU1110.SHF,20110722,20110816
CU,CU1111.SHF,20110817,20110916
CU,CU1112.SHF,20110919,20111019
CU,CU1201.SHF,20111020,20111117
CU,CU1202.SHF,20111118,20111215
CU,CU1203.SHF,20111216,20120116
CU,CU1204.SHF,20120117,20120209
CU,CU1205.SHF,20120210,20120305
CU,CU1206.SHF,20120306,20120330
CU,CU1207.SHF,20120405,20120426
CU,CU1208.SHF,20120427,20120517
CU,CU1209.SHF,20120518,20120619
CU,CU1210.SHF,20120620,20120719
CU,CU1211.SHF,20120720,20120814
CU,CU1212.SHF,20120815,20120917
CU,CU1301.SHF,20120918,20121025
CU,CU1302.SHF,20121026,20121123
CU,CU1303.SHF,20121126,20121225
CU,CU1304.SHF,20121226,20130124
CU,CU1305.SHF,20130125,20130225
CU,CU1306.SHF,20130226,20130318
CU,CU1307.SHF,20130319,20130403
CU,CU1308.SHF,20130408,20130502
CU,CU1309.SHF,20130503,20130605
CU,CU1310.SHF,20130606,20130708
CU,CU1311.SHF,20130709,20130816
CU,CU1312.SHF,20130819,20131009
CU,CU1401.SHF,20131010,20131118
CU,CU1402.SHF,20131119,20131219
CU,CU1403.SHF,20131220,20140114
CU,CU1404.SHF,20140115,20140219
CU,CU1405.SHF,20140220,20140311
CU,CU1406.SHF,20140312,20140401
CU,CU1407.SHF,20140402,20140509
CU,CU1408.SHF,20140512,20140625
CU,CU1409.SHF,20140626,20140730
CU,CU1410.SHF,20140731,20140829
CU,CU1411.SHF,20140901,20140923
CU,CU1412.SHF,20140924,20141017
CU,CU1501.SHF,20141020,20141125
CU,CU1502.SHF,20141126,20141217
CU,CU1503.SHF,20141218,20150122
CU,CU1504.SHF,20150123,20150217
CU,CU1505.SHF,20150225,20150323
CU,CU1506.SHF,20150324,20150424
CU,CU1507.SHF,20150427,20150526
CU,CU1508.SHF,20150527,20150626
CU,CU1509.SHF,20150629,20150724
CU,CU1510.SHF,20150727,20150826
CU,CU1511.SHF,20150827,20150925
CU,CU1512.SHF,20150928,20151029
CU,CU1601.SHF,20151030,20151125
CU,CU1602.SHF,20151126,20151228
CU,CU1603.SHF,20151229,20160129
CU,CU1604.SHF,20160201,20160226
CU,CU1605.SHF,20160229,20160328
CU,CU1606.SHF,20160329,20160425
CU,CU1607.SHF,20160426,20160526
CU,CU1608.SHF,20160527,20160627
CU,CU1609.SHF,20160628,20160729
CU,CU1610.SHF,20160801,20160901
CU,CU1611.SHF,20160902,20160927
CU,CU1612.SHF,20160928,20161031
CU,CU1701.SHF,20161101,20161125
CU,CU1702.SHF,20161128,20161227
CU,CU1703.SHF,20161228,20170208
CU,CU1704.SHF,20170209,20170307
CU,CU1705.SHF,20170308,20170411
CU,CU1706.SHF,20170412,20170508
CU,CU1707.SHF,20170509,20170531
CU,CU1708.SHF,20170601,20170630
CU,CU1709.SHF,20170703,20170731
CU,CU1710.SHF,20170801,20170905
CU,CU1711.SHF,20170906,20170928
CU,CU1712.SHF,20170929,20171106
CU,CU1801.SHF,20171107,20171130
CU,CU1802.SHF,20171201,20171227
CU,CU1803.SHF,20171228,20180201
CU,CU1804.SHF,20180202,20180228
CU,CU1805.SHF,20180301,20180412
CU,CU1806.SHF,20180413,20180503
CU,CU1807.SHF,20180504,20180606
CU,CU1808.SHF,20180607,20180706
CU,CU1809.SHF,20180709,20180808
CU,CU1810.SHF,20180809,20180903
CU,CU1811.SHF,20180904,20181019
CU,CU1812.SHF,20181022,20181101
CU,CU1901.SHF,20181102,20181129
CU,CU1902.SHF,20181130,20190102
CU,CU1903.SHF,20190103,20190214
CU,CU1904.SHF,20190215,20190305
CU,CU1905.SHF,20190306,20190417
CU,CU1906.SHF,20190418,20190509
CU,CU1907.SHF,20190510,20190611
CU,CU1908.SHF,20190612,20190705
CU,CU1909.SHF,20190708,20190807
CU,CU1910.SHF,20190808,20190905
CU,CU1911.SHF,20190906,20191008
CU,CU1912.SHF,20191009,20191112
CU,CU2001.SHF,20191113,20191209
CU,CU2002.SHF,20191210,20200102
CU,CU2003.SHF,20200103,20200217
CU,CU2004.SHF,20200218,20200317
CU,CU2005.SHF,20200318,20200410
CU,CU2006.SHF,20200413,20200519
CU,CU2007.SHF,20200520,20200619
CU,CU2008.SHF,20200622,20200721
CU,CU2009.SHF,20200722,20200819
CU,CU2010.SHF,20200820,20200922
CU,CU2011.SHF,20200923,20201022
CU,CU2012.SHF,20201023,20201118
CU,CU2101.SHF,20201119,20201218
