symbol,contract,start,end
CY,CY801.CZC,20170818,20171130
CY,CY809.CZC,20171201,20180508
CY,CY810.CZC,20180509,20180928
CY,CY901.CZC,20181008,20181228
CY,CY905.CZC,20190102,20190415
CY,CY001.CZC,20190416,20191203
CY,CY005.CZC,20191204,20200402
CY,CY009.CZC,20200403,20200810
CY,CY101.CZC,20200811,20201207
CY,CY105.CZC,20201208,20210409
CY,CY109.CZC,20210412,20210812
CY,CY201.CZC,20210813,20211227
CY,CY205.CZC,20211228,20220428
CY,CY209.CZC,20220429,20220901
CY,CY301.CZC,20220902,20221229
CY,CY305.CZC,20221230,20230427
CY,CY309.CZC,20230428,20230829
CY,CY401.CZC,20230830,20231229
CY,CY405.CZC,20240102,20240430
CY,CY409.CZC,20240506,20240628
