symbol,contract,start,end
C,C1005.DCE,20090812,20091228
C,C1009.DCE,20091229,20100618
C,C1101.DCE,20100621,20100826
C,C1105.DCE,20100827,20101115
C,C1109.DCE,20101116,20110429
C,C1201.DCE,20110503,20110808
C,C1205.DCE,20110809,20111208
C,C1209.DCE,20111209,20120709
C,C1301.DCE,20120710,20121018
C,C1305.DCE,20121019,20130204
C,C1309.DCE,20130205,20130705
C,C1401.DCE,20130708,20131010
C,C1405.DCE,20131011,20140326
C,C1409.DCE,20140327,20140714
C,C1501.DCE,20140715,20141013
C,C1505.DCE,20141014,20150126
C,C1509.DCE,20150127,20150623
C,C1601.DCE,20150624,20150907
C,C1605.DCE,20150908,20160219
C,C1609.DCE,20160222,20160318
C,C1701.DCE,20160321,20161111
C,C1705.DCE,20161114,20170308
C,C1709.DCE,20170309,20170801
C,C1801.DCE,20170802,20171204
C,C1805.DCE,20171205,20180314
C,C1809.DCE,20180315,20180706
C,C1901.DCE,20180709,20181113
C,C1905.DCE,20181114,20190325
C,C1909.DCE,20190326,20190731
C,C2001.DCE,20190801,20191126
C,C2005.DCE,20191127,20200310
C,C2009.DCE,20200311,20200806
C,C2101.DCE,20200807,20201130
C,C2105.DCE,20201201,20210412
C,C2109.DCE,20210413,20210813
C,C2201.DCE,20210816,20211206
C,C2205.DCE,20211207,20220406
C,C2209.DCE,20220407,20220811
C,C2301.DCE,20220812,20221202
C,C2303.DCE,20221205,20230213
C,C2305.DCE,20230214,20230323
C,C2307.DCE,20230324,20230609
C,C2309.DCE,20230612,20230810
C,C2311.DCE,20230811,20231010
C,C2401.DCE,20231011,20231215
C,C2405.DCE,20231218,20240418
C,C2407.DCE,20240419,20240606
C,C2409.DCE,20240607,20240628
