symbol,contract,start,end
EG,EG1906.DCE,20181210,20190429
EG,EG1909.DCE,20190430,20190802
EG,EG2001.DCE,20190805,20191204
EG,EG2005.DCE,20191205,20200402
EG,EG2009.DCE,20200403,20200817
EG,EG2101.DCE,20200818,20201211
EG,EG2105.DCE,20201214,20210415
EG,EG2109.DCE,20210416,20210824
EG,EG2201.DCE,20210825,20211215
EG,EG2205.DCE,20211216,20220425
EG,EG2209.DCE,20220426,20220822
EG,EG2301.DCE,20220823,20221220
EG,EG2305.DCE,20221221,20230418
EG,EG2309.DCE,20230419,20230821
EG,EG2401.DCE,20230822,20231218
EG,EG2405.DCE,20231219,20240418
EG,EG2409.DCE,20240419,20240628
