symbol,contract,start,end
FB,FB1405.DCE,20131206,20140416
FB,FB1409.DCE,20140417,20140827
FB,FB1501.DCE,20140828,20141230
FB,FB1505.DCE,20141231,20150512
FB,FB1507.DCE,20150513,20150714
FB,FB1509.DCE,20150715,20150813
FB,FB1601.DCE,20150814,20160115
FB,FB1604.DCE,20160118,20160407
FB,FB1701.DCE,20160408,20160414
FB,FB1605.DCE,20160415,20160513
FB,FB1606.DCE,20160516,20160615
FB,FB1607.DCE,20160616,20160620
FB,FB1705.DCE,20160621,20170109
FB,FB1709.DCE,20170110,20170710
FB,FB1801.DCE,20170711,20180102
FB,FB1808.DCE,20180103,20180814
FB,FB1809.DCE,20180815,20180903
FB,FB1810.DCE,20180904,20181011
FB,FB1901.DCE,20181012,20181228
FB,FB1903.DCE,20190102,20190305
FB,FB1904.DCE,20190306,20190328
FB,FB1905.DCE,20190329,20190429
FB,FB1906.DCE,20190430,20190524
FB,FB1907.DCE,20190527,20190701
FB,FB1908.DCE,20190702,20190731
FB,FB1909.DCE,20190801,20190830
FB,FB1910.DCE,20190902,20190930
FB,FB1911.DCE,20191008,20191114
FB,FB1912.DCE,20191115,20191202
FB,FB2005.DCE,20191203,20200506
FB,FB2009.DCE,20200507,20200902
FB,FB2010.DCE,20200903,20201009
FB,FB2011.DCE,20201012,20201102
FB,FB2101.DCE,20201103,20210104
FB,FB2102.DCE,20210105,20210201
FB,FB2103.DCE,20210202,20210301
FB,FB2105.DCE,20210302,20210506
FB,FB2106.DCE,20210507,20210601
FB,FB2109.DCE,20210602,20210901
FB,FB2110.DCE,20210902,20211008
FB,FB2201.DCE,20211011,20220104
FB,FB2202.DCE,20220105,20220207
FB,FB2203.DCE,20220208,20220301
FB,FB2205.DCE,20220302,20220505
FB,FB2206.DCE,20220506,20220527
FB,FB2209.DCE,20220530,20220901
FB,FB2210.DCE,20220902,20221010
FB,FB2301.DCE,20221011,20230103
FB,FB2303.DCE,20230104,20230224
FB,FB2305.DCE,20230227,20230504
FB,FB2309.DCE,20230505,20230901
FB,FB2401.DCE,20230904,20240103
FB,FB2402.DCE,20240104,20240201
FB,FB2403.DCE,20240202,20240301
FB,FB2405.DCE,20240304,20240506
FB,FB2409.DCE,20240507,20240628
