symbol,contract,start,end
FG,FG1305.CZC,20121203,20130129
FG,FG1309.CZC,20130130,20130620
FG,FG1401.CZC,20130621,20131029
FG,FG1405.CZC,20131030,20140317
FG,FG1409.CZC,20140318,20140709
FG,FG1501.CZC,20140710,20141113
FG,FG1506.CZC,20141114,20150407
FG,FG509.CZC,20150408,20150807
FG,FG601.CZC,20150810,20151201
FG,FG605.CZC,20151202,20160406
FG,FG609.CZC,20160407,20160811
FG,FG701.CZC,20160812,20161202
FG,FG705.CZC,20161205,20170410
FG,FG709.CZC,20170411,20170809
FG,FG801.CZC,20170810,20171128
FG,FG805.CZC,20171129,20180409
FG,FG809.CZC,20180410,20180808
FG,FG901.CZC,20180809,20181212
FG,FG905.CZC,20181213,20190411
FG,FG909.CZC,20190412,20190808
FG,FG001.CZC,20190809,20191209
FG,FG005.CZC,20191210,20200330
FG,FG009.CZC,20200331,20200811
FG,FG101.CZC,20200812,20201211
FG,FG105.CZC,20201214,20210407
FG,FG109.CZC,20210408,20210723
FG,FG201.CZC,20210726,20211209
FG,FG205.CZC,20211210,20220323
FG,FG209.CZC,20220324,20220810
FG,FG301.CZC,20220811,20221209
FG,FG305.CZC,20221212,20230410
FG,FG309.CZC,20230411,20230811
FG,FG401.CZC,20230814,20231207
FG,FG405.CZC,20231208,20240408
FG,FG409.CZC,20240409,20240628
