symbol,contract,start,end
FU,FU1003.SHF,20091117,20091229
FU,FU1005.SHF,20091230,20100317
FU,FU1006.SHF,20100318,20100428
FU,FU1007.SHF,20100429,20100518
FU,FU1009.SHF,20100519,20100729
FU,FU1010.SHF,20100730,20100819
FU,FU1011.SHF,20100820,20100917
FU,FU1012.SHF,20100920,20101011
FU,FU1101.SHF,20101012,20101108
FU,FU1103.SHF,20101109,20110110
FU,FU1105.SHF,20110111,20110401
FU,FU1109.SHF,20110406,20110809
FU,FU1112.SHF,20110810,20111130
FU,FU1203.SHF,20111201,20120131
FU,FU1205.SHF,20120201,20120423
FU,FU1209.SHF,20120424,20120807
FU,FU1301.SHF,20120808,20121211
FU,FU1305.SHF,20121212,20130426
FU,FU1309.SHF,20130502,20130509
FU,FU1404.SHF,20130510,20130517
FU,FU1405.SHF,20130520,20130711
FU,FU1407.SHF,20130712,20130802
FU,FU1408.SHF,20130805,20130904
FU,FU1409.SHF,20130905,20131009
FU,FU1410.SHF,20131010,20131101
FU,FU1411.SHF,20131104,20131202
FU,FU1412.SHF,20131203,20140102
FU,FU1501.SHF,20140103,20140303
FU,FU1503.SHF,20140304,20140401
FU,FU1504.SHF,20140402,20140505
FU,FU1505.SHF,20140506,20140603
FU,FU1506.SHF,20140604,20140701
FU,FU1507.SHF,20140702,20140801
FU,FU1508.SHF,20140804,20140901
FU,FU1509.SHF,20140902,20141205
FU,FU1510.SHF,20141208,20150311
FU,FU1512.SHF,20150312,20150710
FU,FU1601.SHF,20150713,20150728
FU,FU1604.SHF,20150729,20150804
FU,FU1604.SHF,20150805,20150909
FU,FU1607.SHF,20150910,20150914
FU,FU1609.SHF,20150915,20150916
FU,FU1607.SHF,20150917,20150917
FU,FU1609.SHF,20150918,20150921
FU,FU1510.SHF,20150922,20150929
FU,FU1609.SHF,20150930,20150930
FU,FU1512.SHF,20151008,20151008
FU,FU1601.SHF,20151009,20151009
FU,FU1512.SHF,20151012,20151013
FU,FU1605.SHF,20151014,20151014
FU,FU1512.SHF,20151015,20151015
FU,FU1601.SHF,20151016,20151020
FU,FU1512.SHF,20151021,20151021
FU,FU1601.SHF,20151022,20151022
FU,FU1512.SHF,20151023,20151027
FU,FU1605.SHF,20151028,20151123
FU,FU1604.SHF,20151124,20151210
FU,FU1612.SHF,20151211,20151211
FU,FU1604.SHF,20151214,20151214
FU,FU1605.SHF,20151215,20151215
FU,FU1604.SHF,20151216,20160303
FU,FU1608.SHF,20160304,20160308
FU,FU1605.SHF,20160309,20160309
FU,FU1608.SHF,20160310,20160311
FU,FU1605.SHF,20160314,20160317
FU,FU1607.SHF,20160318,20160318
FU,FU1605.SHF,20160321,20160414
FU,FU1702.SHF,20160415,20160418
FU,FU1605.SHF,20160419,20160426
FU,FU1608.SHF,20160427,20160428
FU,FU1702.SHF,20160429,20160503
FU,FU1608.SHF,20160504,20160518
FU,FU1702.SHF,20160519,20160606
FU,FU1704.SHF,20160607,20160617
FU,FU1702.SHF,20160620,20160705
FU,FU1705.SHF,20160706,20160706
FU,FU1704.SHF,20160707,20160711
FU,FU1702.SHF,20160712,20160722
FU,FU1704.SHF,20160725,20160802
FU,FU1612.SHF,20160803,20160803
FU,FU1704.SHF,20160804,20160907
FU,FU1702.SHF,20160908,20160929
FU,FU1704.SHF,20160930,20170330
FU,FU1705.SHF,20170331,20170331
FU,FU1711.SHF,20170405,20170405
FU,FU1709.SHF,20170406,20170412
FU,FU1711.SHF,20170413,20170414
FU,FU1709.SHF,20170417,20170502
FU,FU1711.SHF,20170503,20170504
FU,FU1709.SHF,20170505,20170512
FU,FU1711.SHF,20170515,20170517
FU,FU1709.SHF,20170518,20170518
FU,FU1711.SHF,20170519,20170519
FU,FU1709.SHF,20170522,20170526
