symbol,contract,start,end
HC,HC1410.SHF,20140321,20140829
HC,HC1501.SHF,20140901,20141212
HC,HC1505.SHF,20141215,20150407
HC,HC1510.SHF,20150408,20150727
HC,HC1601.SHF,20150728,20151130
HC,HC1605.SHF,20151201,20160412
HC,HC1610.SHF,20160413,20160831
HC,HC1701.SHF,20160901,20161129
HC,HC1705.SHF,20161130,20170327
HC,HC1710.SHF,20170328,20170809
HC,HC1801.SHF,20170810,20171124
HC,HC1805.SHF,20171127,20180404
HC,HC1810.SHF,20180409,20180817
HC,HC1901.SHF,20180820,20181127
HC,HC1905.SHF,20181128,20190408
HC,HC1910.SHF,20190409,20190826
HC,HC2001.SHF,20190827,20191212
HC,HC2005.SHF,20191213,20200323
HC,HC2010.SHF,20200324,20200902
HC,HC2101.SHF,20200903,20201208
HC,HC2105.SHF,20201209,20210409
HC,HC2110.SHF,20210412,20210817
HC,HC2201.SHF,20210818,20211202
HC,HC2205.SHF,20211203,20220330
HC,HC2210.SHF,20220331,20220831
HC,HC2301.SHF,20220901,20221205
HC,HC2305.SHF,20221206,20230404
HC,HC2310.SHF,20230406,20230830
HC,HC2401.SHF,20230831,20231201
HC,HC2405.SHF,20231204,20240401
HC,HC2410.SHF,20240402,20240628
