symbol,contract,start,end
IC,IC1505.CFE,20150416,20150513
IC,IC1506.CFE,20150514,20150617
IC,IC1507.CFE,20150618,20150715
IC,IC1508.CFE,20150716,20150818
IC,IC1509.CFE,20150819,20150917
IC,IC1510.CFE,20150918,20151015
IC,IC1511.CFE,20151016,20151118
IC,IC1512.CFE,20151119,20151217
IC,IC1601.CFE,20151218,20160114
IC,IC1602.CFE,20160115,20160217
IC,IC1603.CFE,20160218,20160317
IC,IC1604.CFE,20160318,20160414
IC,IC1605.CFE,20160415,20160517
IC,IC1606.CFE,20160518,20160616
IC,IC1607.CFE,20160617,20160714
IC,IC1608.CFE,20160715,20160816
IC,IC1609.CFE,20160817,20160913
IC,IC1610.CFE,20160914,20161019
IC,IC1611.CFE,20161020,20161114
IC,IC1612.CFE,20161115,20161214
IC,IC1701.CFE,20161215,20170118
IC,IC1702.CFE,20170119,20170213
IC,IC1703.CFE,20170214,20170315
IC,IC1704.CFE,20170316,20170419
IC,IC1705.CFE,20170420,20170515
IC,IC1706.CFE,20170516,20170614
IC,IC1707.CFE,20170615,20170720
IC,IC1708.CFE,20170721,20170815
IC,IC1709.CFE,20170816,20170914
IC,IC1710.CFE,20170915,20171019
IC,IC1711.CFE,20171020,20171114
IC,IC1712.CFE,20171115,20171213
IC,IC1801.CFE,20171214,20180118
IC,IC1802.CFE,20180119,20180208
IC,IC1803.CFE,20180209,20180315
IC,IC1804.CFE,20180316,20180419
IC,IC1805.CFE,20180420,20180515
IC,IC1806.CFE,20180516,20180613
IC,IC1807.CFE,20180614,20180718
IC,IC1808.CFE,20180719,20180810
IC,IC1809.CFE,20180813,20180919
IC,IC1810.CFE,20180920,20181018
IC,IC1811.CFE,20181019,20181031
IC,IC1812.CFE,20181101,20181219
IC,IC1901.CFE,20181220,20190117
IC,IC1902.CFE,20190118,20190131
IC,IC1903.CFE,20190201,20190314
IC,IC1904.CFE,20190315,20190418
IC,IC1905.CFE,20190419,20190515
IC,IC1906.CFE,20190516,20190620
IC,IC1907.CFE,20190621,20190718
IC,IC1908.CFE,20190719,20190813
IC,IC1909.CFE,20190814,20190919
IC,IC1910.CFE,20190920,20191017
IC,IC1911.CFE,20191018,20191111
IC,IC1912.CFE,20191112,20191218
IC,IC2001.CFE,20191219,20200116
IC,IC2002.CFE,20200117,20200203
IC,IC2003.CFE,20200204,20200319
IC,IC2004.CFE,20200320,20200416
IC,IC2005.CFE,20200417,20200514
IC,IC2006.CFE,20200515,20200618
IC,IC2007.CFE,20200619,20200716
IC,IC2008.CFE,20200717,20200820
IC,IC2009.CFE,20200821,20200917
IC,IC2010.CFE,20200918,20201015
IC,IC2011.CFE,20201016,20201119
IC,IC2012.CFE,20201120,20201217
IC,IC2101.CFE,20201218,20210114
IC,IC2102.CFE,20210115,20210218
IC,IC2103.CFE,20210219,20210318
IC,IC2104.CFE,20210319,20210415
IC,IC2105.CFE,20210416,20210520
IC,IC2106.CFE,20210521,20210617
IC,IC2107.CFE,20210618,20210715
IC,IC2108.CFE,20210716,20210819
IC,IC2109.CFE,20210820,20210916
IC,IC2110.CFE,20210917,20211014
IC,IC2111.CFE,20211015,20211118
IC,IC2112.CFE,20211119,20211216
IC,IC2201.CFE,20211217,20220120
IC,IC2202.CFE,20220121,20220217
IC,IC2203.CFE,20220218,20220317
IC,IC2204.CFE,20220318,20220414
IC,IC2205.CFE,20220415,20220518
IC,IC2206.CFE,20220519,20220616
IC,IC2207.CFE,20220617,20220714
IC,IC2208.CFE,20220715,20220818
IC,IC2209.CFE,20220819,20220915
IC,IC2210.CFE,20220916,20221020
IC,IC2211.CFE,20221021,20221117
IC,IC2212.CFE,20221118,20221215
IC,IC2301.CFE,20221216,20230119
IC,IC2302.CFE,20230120,20230216
IC,IC2303.CFE,20230217,20230316
IC,IC2304.CFE,20230317,20230420
IC,IC2305.CFE,20230421,20230518
IC,IC2306.CFE,20230519,20230615
IC,IC2307.CFE,20230616,20230720
IC,IC2308.CFE,20230721,20230816
IC,IC2309.CFE,20230817,20230914
IC,IC2310.CFE,20230915,20231019
IC,IC2311.CFE,20231020,20231115
IC,IC2312.CFE,20231116,20231214
IC,IC2401.CFE,20231215,20240118
IC,IC2402.CFE,20240119,20240206
IC,IC2403.CFE,20240207,20240314
IC,IC2404.CFE,20240315,20240418
IC,IC2405.CFE,20240419,20240515
IC,IC2406.CFE,20240516,20240620
IC,IC2407.CFE,20240621,20240628
