symbol,contract,start,end
IF,IF1005.CFE,20100416,20100517
IF,IF1006.CFE,20100518,20100617
IF,IF1007.CFE,20100618,20100714
IF,IF1008.CFE,20100715,20100817
IF,IF1009.CFE,20100818,20100915
IF,IF1010.CFE,20100916,20101013
IF,IF1011.CFE,20101014,20101110
IF,IF1012.CFE,20101111,20101214
IF,IF1101.CFE,20101215,20110119
IF,IF1102.CFE,20110120,20110214
IF,IF1103.CFE,20110215,20110316
IF,IF1104.CFE,20110317,20110413
IF,IF1105.CFE,20110414,20110517
IF,IF1106.CFE,20110518,20110615
IF,IF1107.CFE,20110616,20110714
IF,IF1108.CFE,20110715,20110815
IF,IF1109.CFE,20110816,20110914
IF,IF1110.CFE,20110915,20111018
IF,IF1111.CFE,20111019,20111115
IF,IF1112.CFE,20111116,20111215
IF,IF1201.CFE,20111216,20120117
IF,IF1202.CFE,20120118,20120214
IF,IF1203.CFE,20120215,20120314
IF,IF1204.CFE,20120315,20120417
IF,IF1205.CFE,20120418,20120515
IF,IF1206.CFE,20120516,20120612
IF,IF1207.CFE,20120613,20120718
IF,IF1208.CFE,20120719,20120815
IF,IF1209.CFE,20120816,20120917
IF,IF1210.CFE,20120918,20121017
IF,IF1211.CFE,20121018,20121114
IF,IF1212.CFE,20121115,20121217
IF,IF1301.CFE,20121218,20130116
IF,IF1302.CFE,20130117,20130204
IF,IF1303.CFE,20130205,20130313
IF,IF1304.CFE,20130314,20130417
IF,IF1305.CFE,20130418,20130509
IF,IF1306.CFE,20130510,20130618
IF,IF1307.CFE,20130619,20130717
IF,IF1308.CFE,20130718,20130813
IF,IF1309.CFE,20130814,20130917
IF,IF1310.CFE,20130918,20131017
IF,IF1311.CFE,20131018,20131113
IF,IF1312.CFE,20131114,20131218
IF,IF1401.CFE,20131219,20140116
IF,IF1402.CFE,20140117,20140217
IF,IF1403.CFE,20140218,20140319
IF,IF1404.CFE,20140320,20140417
IF,IF1405.CFE,20140418,20140513
IF,IF1406.CFE,20140514,20140617
