symbol,contract,start,end
IH,IH1505.CFE,20150416,20150513
IH,IH1506.CFE,20150514,20150618
IH,IH1507.CFE,20150619,20150716
IH,IH1508.CFE,20150717,20150819
IH,IH1509.CFE,20150820,20150917
IH,IH1510.CFE,20150918,20151016
IH,IH1511.CFE,20151019,20151112
IH,IH1512.CFE,20151113,20151216
IH,IH1601.CFE,20151217,20160114
IH,IH1602.CFE,20160115,20160216
IH,IH1603.CFE,20160217,20160317
IH,IH1604.CFE,20160318,20160414
IH,IH1605.CFE,20160415,20160517
IH,IH1606.CFE,20160518,20160615
IH,IH1607.CFE,20160616,20160713
IH,IH1608.CFE,20160714,20160815
IH,IH1609.CFE,20160816,20160913
IH,IH1610.CFE,20160914,20161019
IH,IH1611.CFE,20161020,20161114
IH,IH1612.CFE,20161115,20161214
IH,IH1701.CFE,20161215,20170118
IH,IH1702.CFE,20170119,20170213
IH,IH1703.CFE,20170214,20170315
IH,IH1704.CFE,20170316,20170419
IH,IH1705.CFE,20170420,20170516
IH,IH1706.CFE,20170517,20170614
IH,IH1707.CFE,20170615,20170720
IH,IH1708.CFE,20170721,20170815
IH,IH1709.CFE,20170816,20170914
IH,IH1710.CFE,20170915,20171019
IH,IH1711.CFE,20171020,20171114
IH,IH1712.CFE,20171115,20171214
IH,IH1801.CFE,20171215,20180118
IH,IH1802.CFE,20180119,20180212
IH,IH1803.CFE,20180213,20180315
IH,IH1804.CFE,20180316,20180419
IH,IH1805.CFE,20180420,20180516
IH,IH1806.CFE,20180517,20180614
IH,IH1807.CFE,20180615,20180719
IH,IH1808.CFE,20180720,20180815
IH,IH1809.CFE,20180816,20180920
IH,IH1810.CFE,20180921,20181018
IH,IH1811.CFE,20181019,20181114
IH,IH1812.CFE,20181115,20181220
IH,IH1901.CFE,20181221,20190117
IH,IH1902.CFE,20190118,20190213
IH,IH1903.CFE,20190214,20190314
IH,IH1904.CFE,20190315,20190418
IH,IH1905.CFE,20190419,20190515
IH,IH1906.CFE,20190516,20190620
IH,IH1907.CFE,20190621,20190718
IH,IH1908.CFE,20190719,20190814
IH,IH1909.CFE,20190815,20190919
IH,IH1910.CFE,20190920,20191017
IH,IH1911.CFE,20191018,20191112
IH,IH1912.CFE,20191113,20191219
IH,IH2001.CFE,20191220,20200116
IH,IH2002.CFE,20200117,20200207
IH,IH2003.CFE,20200210,20200319
IH,IH2004.CFE,20200320,20200416
IH,IH2005.CFE,20200417,20200514
IH,IH2006.CFE,20200515,20200618
IH,IH2007.CFE,20200619,20200716
IH,IH2008.CFE,20200717,20200820
IH,IH2009.CFE,20200821,20200917
IH,IH2010.CFE,20200918,20201015
IH,IH2011.CFE,20201016,20201119
IH,IH2012.CFE,20201120,20201217
IH,IH2101.CFE,20201218,20210114
IH,IH2102.CFE,20210115,20210218
IH,IH2103.CFE,20210219,20210318
IH,IH2104.CFE,20210319,20210415
IH,IH2105.CFE,20210416,20210520
IH,IH2106.CFE,20210521,20210617
IH,IH2107.CFE,20210618,20210715
IH,IH2108.CFE,20210716,20210819
IH,IH2109.CFE,20210820,20210916
IH,IH2110.CFE,20210917,20211014
IH,IH2111.CFE,20211015,20211118
IH,IH2112.CFE,20211119,20211216
IH,IH2201.CFE,20211217,20220120
IH,IH2202.CFE,20220121,20220217
IH,IH2203.CFE,20220218,20220317
IH,IH2204.CFE,20220318,20220414
IH,IH2205.CFE,20220415,20220519
IH,IH2206.CFE,20220520,20220616
IH,IH2207.CFE,20220617,20220714
IH,IH2208.CFE,20220715,20220818
IH,IH2209.CFE,20220819,20220915
IH,IH2210.CFE,20220916,20221020
IH,IH2211.CFE,20221021,20221116
IH,IH2212.CFE,20221117,20221215
IH,IH2301.CFE,20221216,20230119
IH,IH2302.CFE,20230120,20230216
IH,IH2303.CFE,20230217,20230316
IH,IH2304.CFE,20230317,20230420
IH,IH2305.CFE,20230421,20230518
IH,IH2306.CFE,20230519,20230615
IH,IH2307.CFE,20230616,20230720
IH,IH2308.CFE,20230721,20230816
IH,IH2309.CFE,20230817,20230914
IH,IH2310.CFE,20230915,20231019
IH,IH2311.CFE,20231020,20231115
IH,IH2312.CFE,20231116,20231214
IH,IH2401.CFE,20231215,20240118
IH,IH2402.CFE,20240119,20240206
IH,IH2403.CFE,20240207,20240314
IH,IH2404.CFE,20240315,20240418
IH,IH2405.CFE,20240419,20240515
IH,IH2406.CFE,20240516,20240620
IH,IH2407.CFE,20240621,20240628
