symbol,contract,start,end
IM,IM2208.CFE,20220722,20220818
IM,IM2209.CFE,20220819,20220915
IM,IM2210.CFE,20220916,20221020
IM,IM2211.CFE,20221021,20221117
IM,IM2212.CFE,20221118,20221215
IM,IM2301.CFE,20221216,20230119
IM,IM2302.CFE,20230120,20230215
IM,IM2303.CFE,20230216,20230316
IM,IM2304.CFE,20230317,20230420
IM,IM2305.CFE,20230421,20230518
IM,IM2306.CFE,20230519,20230615
IM,IM2307.CFE,20230616,20230720
IM,IM2308.CFE,20230721,20230817
IM,IM2309.CFE,20230818,20230914
IM,IM2310.CFE,20230915,20231019
IM,IM2311.CFE,20231020,20231115
IM,IM2312.CFE,20231116,20231214
IM,IM2401.CFE,20231215,20240118
IM,IM2402.CFE,20240119,20240206
IM,IM2403.CFE,20240207,20240314
IM,IM2404.CFE,20240315,20240418
IM,IM2406.CFE,20240419,20240620
IM,IM2407.CFE,20240621,20240628
