symbol,contract,start,end
I,I1405.DCE,20131018,20140226
I,I1409.DCE,20140227,20140722
I,I1501.DCE,20140723,20141022
I,I1505.DCE,20141023,20150306
I,I1509.DCE,20150309,20150720
I,I1601.DCE,20150721,20151120
I,I1605.DCE,20151123,20160318
I,I1609.DCE,20160321,20160810
I,I1701.DCE,20160811,20161124
I,I1705.DCE,20161125,20170321
I,I1709.DCE,20170322,20170731
I,I1801.DCE,20170801,20171122
I,I1805.DCE,20171123,20180403
I,I1809.DCE,20180404,20180806
I,I1901.DCE,20180807,20181129
I,I1905.DCE,20181130,20190404
I,I1909.DCE,20190408,20190730
I,I2001.DCE,20190731,20191205
I,I2005.DCE,20191206,20200330
I,I2009.DCE,20200331,20200810
I,I2101.DCE,20200811,20201207
I,I2105.DCE,20201208,20210331
I,I2109.DCE,20210401,20210804
I,I2201.DCE,20210805,20211201
I,I2205.DCE,20211202,20220325
I,I2209.DCE,20220328,20220804
I,I2301.DCE,20220805,20221205
I,I2305.DCE,20221206,20230404
I,I2309.DCE,20230406,20230804
I,I2401.DCE,20230807,20231206
I,I2405.DCE,20231207,20240327
I,I2409.DCE,20240328,20240628
