symbol,contract,start,end
JD,JD1405.DCE,20131108,20140317
JD,JD1409.DCE,20140318,20140725
JD,JD1501.DCE,20140728,20141128
JD,JD1505.DCE,20141201,20150323
JD,JD1509.DCE,20150324,20150803
JD,JD1601.DCE,20150804,20151125
JD,JD1605.DCE,20151126,20160323
JD,JD1609.DCE,20160324,20160729
JD,JD1701.DCE,20160801,20161128
JD,JD1705.DCE,20161129,20170411
JD,JD1709.DCE,20170412,20170801
JD,JD1801.DCE,20170802,20171130
JD,JD1805.DCE,20171201,20180404
JD,JD1809.DCE,20180409,20180803
JD,JD1901.DCE,20180806,20181206
JD,JD1905.DCE,20181207,20190403
JD,JD1909.DCE,20190404,20190802
JD,JD2001.DCE,20190805,20191129
JD,JD2005.DCE,20191202,20200409
JD,JD2006.DCE,20200410,20200528
JD,JD2007.DCE,20200529,20200615
JD,JD2009.DCE,20200616,20200819
JD,JD2010.DCE,20200820,20200918
JD,JD2011.DCE,20200921,20201022
JD,JD2101.DCE,20201023,20201209
JD,JD2105.DCE,20201210,20210414
JD,JD2109.DCE,20210415,20210818
JD,JD2201.DCE,20210819,20211210
JD,JD2205.DCE,20211213,20220406
JD,JD2209.DCE,20220407,20220812
JD,JD2301.DCE,20220815,20221213
JD,JD2305.DCE,20221214,20230413
JD,JD2309.DCE,20230414,20230815
JD,JD2310.DCE,20230816,20230907
JD,JD2311.DCE,20230908,20231012
JD,JD2401.DCE,20231013,20231214
JD,JD2402.DCE,20231215,20240109
JD,JD2403.DCE,20240110,20240220
JD,JD2405.DCE,20240221,20240410
JD,JD2409.DCE,20240411,20240628
