symbol,contract,start,end
JM,JM1309.DCE,20130322,20130628
JM,JM1401.DCE,20130701,20131104
JM,JM1405.DCE,20131105,20140312
JM,JM1409.DCE,20140313,20140722
JM,JM1501.DCE,20140723,20141117
JM,JM1505.DCE,20141118,20150330
JM,JM1509.DCE,20150331,20150807
JM,JM1601.DCE,20150810,20151123
JM,JM1605.DCE,20151124,20160330
JM,JM1609.DCE,20160331,20160812
JM,JM1701.DCE,20160815,20161129
JM,JM1705.DCE,20161130,20170330
JM,JM1709.DCE,20170331,20170803
JM,JM1801.DCE,20170804,20171130
JM,JM1805.DCE,20171201,20180410
JM,JM1809.DCE,20180411,20180807
JM,JM1901.DCE,20180808,20181211
JM,JM1905.DCE,20181212,20190409
JM,JM1909.DCE,20190410,20190816
JM,JM2001.DCE,20190819,20191218
JM,JM2005.DCE,20191219,20200402
JM,JM2009.DCE,20200403,20200821
JM,JM2101.DCE,20200824,20201216
JM,JM2105.DCE,20201217,20210420
JM,JM2109.DCE,20210421,20210810
JM,JM2201.DCE,20210811,20211202
JM,JM2205.DCE,20211203,20220418
JM,JM2209.DCE,20220419,20220818
JM,JM2301.DCE,20220819,20221205
JM,JM2305.DCE,20221206,20230413
JM,JM2309.DCE,20230414,20230811
JM,JM2401.DCE,20230814,20231207
JM,JM2405.DCE,20231208,20240410
JM,JM2409.DCE,20240411,20240628
