symbol,contract,start,end
JR,JR1405.CZC,20131118,20140425
JR,JR1409.CZC,20140428,20140804
JR,JR1411.CZC,20140805,20140806
JR,JR1501.CZC,20140807,20141211
JR,JR511.CZC,20141212,20141219
JR,JR1501.CZC,20141222,20150107
JR,JR1505.CZC,20150108,20150109
JR,JR1501.CZC,20150112,20150115
JR,JR1503.CZC,20150116,20150306
JR,JR1505.CZC,20150309,20150309
JR,JR1503.CZC,20150310,20150312
JR,JR1505.CZC,20150313,20150317
JR,JR509.CZC,20150318,20150319
JR,JR603.CZC,20150320,20150518
JR,JR605.CZC,20150519,20150612
JR,JR507.CZC,20150615,20150713
JR,JR509.CZC,20150714,20150728
JR,JR511.CZC,20150729,20151112
JR,JR601.CZC,20151113,20160114
JR,JR603.CZC,20160115,20160222
JR,JR701.CZC,20160223,20160223
JR,JR607.CZC,20160224,20160226
JR,JR603.CZC,20160229,20160307
JR,JR607.CZC,20160308,20160314
JR,JR605.CZC,20160315,20160426
JR,JR607.CZC,20160427,20160510
JR,JR605.CZC,20160511,20160513
JR,JR607.CZC,20160516,20160629
JR,JR609.CZC,20160630,20160705
JR,JR701.CZC,20160706,20160711
JR,JR609.CZC,20160712,20160901
JR,JR701.CZC,20160902,20160912
JR,JR705.CZC,20160913,20160913
JR,JR701.CZC,20160914,20161110
JR,JR611.CZC,20161111,20161111
JR,JR701.CZC,20161114,20161114
JR,JR705.CZC,20161115,20161115
JR,JR701.CZC,20161116,20161122
JR,JR705.CZC,20161123,20161206
JR,JR711.CZC,20161207,20170118
JR,JR711.CZC,20170119,20170213
JR,JR801.CZC,20170214,20170214
JR,JR711.CZC,20170215,20170322
JR,JR801.CZC,20170323,20170323
JR,JR711.CZC,20170324,20170517
JR,JR707.CZC,20170518,20170713
JR,JR711.CZC,20170714,20170831
JR,JR709.CZC,20170901,20170913
JR,JR711.CZC,20170914,20170920
JR,JR805.CZC,20170921,20170927
JR,JR711.CZC,20170928,20171013
JR,JR807.CZC,20171016,20171018
JR,JR803.CZC,20171019,20171019
JR,JR807.CZC,20171020,20171020
JR,JR803.CZC,20171023,20171026
JR,JR807.CZC,20171027,20180209
JR,JR803.CZC,20180212,20180301
JR,JR807.CZC,20180302,20180620
JR,JR809.CZC,20180621,20180718
JR,JR907.CZC,20180719,20190712
JR,JR909.CZC,20190715,20190821
JR,JR001.CZC,20190822,20200115
JR,JR003.CZC,20200116,20200210
JR,JR009.CZC,20200211,20200211
JR,JR011.CZC,20200212,20200430
JR,JR007.CZC,20200506,20200702
JR,JR009.CZC,20200703,20200901
JR,JR011.CZC,20200902,20200902
JR,JR009.CZC,20200903,20200903
JR,JR101.CZC,20200904,20210104
JR,JR105.CZC,20210105,20210506
JR,JR109.CZC,20210507,20210907
JR,JR111.CZC,20210908,20211013
JR,JR201.CZC,20211014,20211015
JR,JR111.CZC,20211018,20211027
JR,JR201.CZC,20211028,20220114
JR,JR203.CZC,20220117,20220309
JR,JR301.CZC,20220310,20230113
JR,JR303.CZC,20230116,20230313
JR,JR305.CZC,20230314,20230516
JR,JR307.CZC,20230517,20230713
JR,JR309.CZC,20230714,20230913
JR,JR311.CZC,20230914,20231113
JR,JR401.CZC,20231114,20240112
JR,JR403.CZC,20240115,20240313
JR,JR405.CZC,20240314,20240516
JR,JR407.CZC,20240517,20240628
