symbol,contract,start,end
J,J1109.DCE,20110415,20110819
J,J1201.DCE,20110822,20111208
J,J1205.DCE,20111209,20120413
J,J1209.DCE,20120416,20120717
J,J1301.DCE,20120718,20121024
J,J1305.DCE,20121025,20130206
J,J1309.DCE,20130207,20130620
J,J1401.DCE,20130621,20131029
J,J1405.DCE,20131030,20140310
J,J1409.DCE,20140311,20140721
J,J1501.DCE,20140722,20141124
J,J1505.DCE,20141125,20150327
J,J1509.DCE,20150330,20150810
J,J1601.DCE,20150811,20151124
J,J1605.DCE,20151125,20160324
J,J1609.DCE,20160325,20160815
J,J1701.DCE,20160816,20161201
J,J1705.DCE,20161202,20170330
J,J1709.DCE,20170331,20170802
J,J1801.DCE,20170803,20171128
J,J1805.DCE,20171129,20180410
J,J1809.DCE,20180411,20180807
J,J1901.DCE,20180808,20181205
J,J1905.DCE,20181206,20190404
J,J1909.DCE,20190408,20190806
J,J2001.DCE,20190807,20191210
J,J2005.DCE,20191211,20200330
J,J2009.DCE,20200331,20200819
J,J2101.DCE,20200820,20201210
J,J2105.DCE,20201211,20210416
J,J2109.DCE,20210419,20210813
J,J2201.DCE,20210816,20211129
J,J2205.DCE,20211130,20220418
J,J2209.DCE,20220419,20220822
J,J2301.DCE,20220823,20221214
J,J2305.DCE,20221215,20230413
J,J2309.DCE,20230414,20230815
J,J2401.DCE,20230816,20231214
J,J2405.DCE,20231215,20240415
J,J2409.DCE,20240416,20240628
