symbol,contract,start,end
LH,LH2109.DCE,20210108,20210818
LH,LH2201.DCE,20210819,20211210
LH,LH2203.DCE,20211213,20220207
LH,LH2205.DCE,20220208,20220418
LH,LH2209.DCE,20220419,20220805
LH,LH2301.DCE,20220808,20221214
LH,LH2303.DCE,20221215,20230210
LH,LH2305.DCE,20230213,20230413
LH,LH2307.DCE,20230414,20230601
LH,LH2309.DCE,20230602,20230803
LH,LH2311.DCE,20230804,20231011
LH,LH2401.DCE,20231012,20231207
LH,LH2403.DCE,20231208,20240219
LH,LH2405.DCE,20240220,20240403
LH,LH2409.DCE,20240408,20240628
