symbol,contract,start,end
LR,LR1501.CZC,20140708,20150107
LR,LR1505.CZC,20150108,20150515
LR,LR507.CZC,20150518,20150701
LR,LR601.CZC,20150702,20150707
LR,LR605.CZC,20150708,20151222
LR,LR609.CZC,20151223,20160218
LR,LR605.CZC,20160219,20160314
LR,LR607.CZC,20160315,20160316
LR,LR605.CZC,20160317,20160513
LR,LR607.CZC,20160516,20160524
LR,LR609.CZC,20160525,20160601
LR,LR607.CZC,20160602,20160623
LR,LR609.CZC,20160624,20160707
LR,LR607.CZC,20160708,20160712
LR,LR609.CZC,20160713,20160811
LR,LR611.CZC,20160812,20160812
LR,LR609.CZC,20160815,20160913
LR,LR611.CZC,20160914,20161111
LR,LR701.CZC,20161114,20161114
LR,LR705.CZC,20161115,20161223
LR,LR711.CZC,20161226,20161227
LR,LR705.CZC,20161228,20170203
LR,LR711.CZC,20170206,20170220
LR,LR705.CZC,20170221,20170223
LR,LR711.CZC,20170224,20170324
LR,LR705.CZC,20170327,20170512
LR,LR707.CZC,20170515,20170713
LR,LR805.CZC,20170714,20170811
LR,LR709.CZC,20170814,20170817
LR,LR805.CZC,20170818,20170818
LR,LR709.CZC,20170821,20170913
LR,LR805.CZC,20170914,20170914
LR,LR711.CZC,20170915,20170926
LR,LR805.CZC,20170927,20171229
LR,LR801.CZC,20180102,20180103
LR,LR805.CZC,20180104,20180312
LR,LR803.CZC,20180313,20180313
LR,LR805.CZC,20180314,20180329
LR,LR809.CZC,20180330,20180402
LR,LR805.CZC,20180403,20180503
LR,LR903.CZC,20180504,20190313
LR,LR905.CZC,20190314,20190506
LR,LR911.CZC,20190507,20190926
LR,LR001.CZC,20190927,20190930
LR,LR007.CZC,20191008,20200714
LR,LR011.CZC,20200715,20201112
LR,LR101.CZC,20201113,20210114
LR,LR103.CZC,20210115,20210311
LR,LR105.CZC,20210312,20210518
LR,LR107.CZC,20210519,20210713
LR,LR109.CZC,20210714,20210913
LR,LR111.CZC,20210914,20211111
LR,LR201.CZC,20211112,20220114
LR,LR203.CZC,20220117,20220311
LR,LR205.CZC,20220314,20220505
LR,LR207.CZC,20220506,20220713
LR,LR209.CZC,20220714,20220914
LR,LR211.CZC,20220915,20221111
LR,LR301.CZC,20221114,20230113
LR,LR303.CZC,20230116,20230313
LR,LR305.CZC,20230314,20230516
LR,LR307.CZC,20230517,20230713
LR,LR309.CZC,20230714,20230913
LR,LR311.CZC,20230914,20231113
LR,LR401.CZC,20231114,20240112
LR,LR403.CZC,20240115,20240313
LR,LR405.CZC,20240314,20240516
LR,LR407.CZC,20240517,20240628
