symbol,contract,start,end
LU,LU2101.INE,20200622,20201127
LU,LU2103.INE,20201130,20210105
LU,LU2104.INE,20210106,20210202
LU,LU2105.INE,20210203,20210310
LU,LU2106.INE,20210311,20210412
LU,LU2107.INE,20210413,20210506
LU,LU2108.INE,20210507,20210602
LU,LU2109.INE,20210603,20210707
LU,LU2110.INE,20210708,20210805
LU,LU2111.INE,20210806,20210903
LU,LU2112.INE,20210906,20211008
LU,LU2201.INE,20211011,20211118
LU,LU2202.INE,20211119,20211215
LU,LU2203.INE,20211216,20211231
LU,LU2204.INE,20220104,20220208
LU,LU2205.INE,20220209,20220321
LU,LU2206.INE,20220322,20220418
LU,LU2207.INE,20220419,20220526
LU,LU2208.INE,20220527,20220627
LU,LU2209.INE,20220628,20220811
LU,LU2210.INE,20220812,20220909
LU,LU2211.INE,20220913,20220927
LU,LU2212.INE,20220928,20221011
LU,LU2301.INE,20221012,20221115
LU,LU2302.INE,20221116,20221209
LU,LU2303.INE,20221212,20230120
LU,LU2304.INE,20230130,20230213
LU,LU2305.INE,20230214,20230313
LU,LU2306.INE,20230314,20230403
LU,LU2307.INE,20230404,20230417
LU,LU2308.INE,20230418,20230602
LU,LU2309.INE,20230605,20230705
LU,LU2310.INE,20230706,20230804
LU,LU2311.INE,20230807,20230905
LU,LU2312.INE,20230906,20231011
LU,LU2401.INE,20231012,20231107
LU,LU2402.INE,20231108,20231201
LU,LU2403.INE,20231204,20240102
LU,LU2404.INE,20240103,20240219
LU,LU2405.INE,20240220,20240314
LU,LU2406.INE,20240315,20240415
LU,LU2407.INE,20240416,20240515
LU,LU2408.INE,20240516,20240611
LU,LU2409.INE,20240612,20240628
