symbol,contract,start,end
MA,ME203.CZC,20111028,20111229
MA,ME205.CZC,20111230,20120410
MA,ME209.CZC,20120411,20120807
MA,ME301.CZC,20120808,20121207
MA,ME305.CZC,20121210,20130329
MA,ME309.CZC,20130401,20130816
MA,ME401.CZC,20130819,20131209
MA,ME405.CZC,20131210,20140402
MA,ME409.CZC,20140403,20140728
MA,ME501.CZC,20140729,20141208
MA,MA1506.CZC,20141209,20150416
MA,MA509.CZC,20150417,20150724
MA,MA601.CZC,20150727,20151127
MA,MA605.CZC,20151130,20160407
MA,MA609.CZC,20160408,20160808
MA,MA701.CZC,20160809,20161201
MA,MA705.CZC,20161202,20170406
MA,MA709.CZC,20170407,20170804
MA,MA801.CZC,20170807,20171208
MA,MA805.CZC,20171211,20180411
MA,MA809.CZC,20180412,20180808
MA,MA901.CZC,20180809,20181211
MA,MA905.CZC,20181212,20190411
MA,MA909.CZC,20190412,20190815
MA,MA001.CZC,20190816,20191212
MA,MA005.CZC,20191213,20200410
MA,MA009.CZC,20200413,20200817
MA,MA101.CZC,20200818,20201211
MA,MA105.CZC,20201214,20210415
MA,MA109.CZC,20210416,20210813
MA,MA201.CZC,20210816,20211214
MA,MA205.CZC,20211215,20220414
MA,MA209.CZC,20220415,20220816
MA,MA301.CZC,20220817,20221216
MA,MA305.CZC,20221219,20230414
MA,MA309.CZC,20230417,20230811
MA,MA401.CZC,20230814,20231211
MA,MA405.CZC,20231212,20240412
MA,MA409.CZC,20240415,20240628
