symbol,contract,start,end
M,M1009.DCE,20091120,20100430
M,M1101.DCE,20100504,20100719
M,M1105.DCE,20100720,20101021
M,M1109.DCE,20101022,20110307
M,M1201.DCE,20110308,20110705
M,M1205.DCE,20110706,20111220
M,M1209.DCE,20111221,20120425
M,M1301.DCE,20120426,20121106
M,M1305.DCE,20121107,20130208
M,M1309.DCE,20130218,20130530
M,M1401.DCE,20130531,20131031
M,M1405.DCE,20131101,20140224
M,M1409.DCE,20140225,20140609
M,M1501.DCE,20140610,20140724
M,M1505.DCE,20140725,20150226
M,M1509.DCE,20150227,20150722
M,M1601.DCE,20150723,20151120
M,M1605.DCE,20151123,20160302
M,M1609.DCE,20160303,20160714
M,M1701.DCE,20160715,20161111
M,M1705.DCE,20161114,20170315
M,M1709.DCE,20170316,20170725
M,M1801.DCE,20170726,20171121
M,M1805.DCE,20171122,20180314
M,M1809.DCE,20180315,20180629
M,M1901.DCE,20180702,20181126
M,M1905.DCE,20181127,20190328
M,M1909.DCE,20190329,20190802
M,M2001.DCE,20190805,20191031
M,M2005.DCE,20191101,20200226
M,M2009.DCE,20200227,20200804
M,M2101.DCE,20200805,20201112
M,M2105.DCE,20201113,20210331
M,M2109.DCE,20210401,20210810
M,M2201.DCE,20210811,20211203
M,M2205.DCE,20211206,20220330
M,M2209.DCE,20220331,20220810
M,M2301.DCE,20220811,20221216
M,M2305.DCE,20221219,20230411
M,M2309.DCE,20230412,20230811
M,M2401.DCE,20230814,20231208
M,M2405.DCE,20231211,20240401
M,M2409.DCE,20240402,20240628
