symbol,contract,start,end
NI,NI1507.SHF,20150327,20150527
NI,NI1509.SHF,20150528,20150813
NI,NI1601.SHF,20150814,20151214
NI,NI1605.SHF,20151215,20160407
NI,NI1609.SHF,20160408,20160729
NI,NI1701.SHF,20160801,20161124
NI,NI1705.SHF,20161125,20170331
NI,NI1709.SHF,20170405,20170802
NI,NI1801.SHF,20170803,20171110
NI,NI1805.SHF,20171113,20180328
NI,NI1807.SHF,20180329,20180604
NI,NI1809.SHF,20180605,20180803
NI,NI1811.SHF,20180806,20181010
NI,NI1901.SHF,20181011,20181205
NI,NI1905.SHF,20181206,20190409
NI,NI1906.SHF,20190410,20190506
NI,NI1907.SHF,20190507,20190604
NI,NI1908.SHF,20190605,20190705
NI,NI1909.SHF,20190708,20190712
NI,NI1910.SHF,20190715,20190829
NI,NI1911.SHF,20190830,20190930
NI,NI1912.SHF,20191008,20191031
NI,NI2001.SHF,20191101,20191114
NI,NI2002.SHF,20191115,20191227
NI,NI2003.SHF,20191230,20200123
NI,NI2004.SHF,20200203,20200303
NI,NI2006.SHF,20200304,20200429
NI,NI2007.SHF,20200430,20200526
NI,NI2008.SHF,20200527,20200703
NI,NI2010.SHF,20200706,20200825
NI,NI2011.SHF,20200826,20200924
NI,NI2012.SHF,20200925,20201103
NI,NI2102.SHF,20201104,20201222
NI,NI2103.SHF,20201223,20210128
NI,NI2104.SHF,20210129,20210309
NI,NI2106.SHF,20210310,20210524
NI,NI2107.SHF,20210525,20210629
NI,NI2108.SHF,20210630,20210727
NI,NI2109.SHF,20210728,20210827
NI,NI2110.SHF,20210830,20210929
NI,NI2111.SHF,20210930,20211028
NI,NI2112.SHF,20211029,20211124
NI,NI2202.SHF,20211125,20220124
NI,NI2203.SHF,20220125,20220222
NI,NI2204.SHF,20220223,20220328
NI,NI2205.SHF,20220329,20220427
NI,NI2206.SHF,20220428,20220530
NI,NI2207.SHF,20220531,20220628
NI,NI2208.SHF,20220629,20220727
NI,NI2209.SHF,20220728,20220824
NI,NI2210.SHF,20220825,20220928
NI,NI2211.SHF,20220929,20221027
NI,NI2212.SHF,20221028,20221128
NI,NI2301.SHF,20221129,20221221
NI,NI2302.SHF,20221222,20230119
NI,NI2303.SHF,20230120,20230224
NI,NI2304.SHF,20230227,20230327
NI,NI2305.SHF,20230328,20230420
NI,NI2306.SHF,20230421,20230526
NI,NI2307.SHF,20230529,20230627
NI,NI2308.SHF,20230628,20230727
NI,NI2309.SHF,20230728,20230822
NI,NI2310.SHF,20230823,20230925
NI,NI2311.SHF,20230926,20231027
NI,NI2312.SHF,20231030,20231124
NI,NI2401.SHF,20231127,20231225
NI,NI2402.SHF,20231226,20240123
NI,NI2403.SHF,20240124,20240226
NI,NI2405.SHF,20240227,20240419
NI,NI2406.SHF,20240422,20240528
NI,NI2407.SHF,20240529,20240627
NI,NI2409.SHF,20240628,20240628
