symbol,contract,start,end
NR,NR2002.INE,20190812,20191023
NR,NR2002.INE,20191024,20191114
NR,NR2003.INE,20191115,20200106
NR,NR2004.INE,20200107,20200227
NR,NR2005.INE,20200228,20200410
NR,NR2006.INE,20200413,20200508
NR,NR2007.INE,20200511,20200529
NR,NR2009.INE,20200601,20200729
NR,NR2010.INE,20200730,20200827
NR,NR2011.INE,20200828,20200928
NR,NR2012.INE,20200929,20201027
NR,NR2101.INE,20201028,20201130
NR,NR2102.INE,20201201,20201228
NR,NR2103.INE,20201229,20210129
NR,NR2104.INE,20210201,20210226
NR,NR2105.INE,20210301,20210331
NR,NR2106.INE,20210401,20210506
NR,NR2107.INE,20210507,20210602
NR,NR2108.INE,20210603,20210701
NR,NR2109.INE,20210702,20210803
NR,NR2110.INE,20210804,20210902
NR,NR2111.INE,20210903,20210928
NR,NR2112.INE,20210929,20211022
NR,NR2201.INE,20211025,20211124
NR,NR2202.INE,20211125,20211217
NR,NR2203.INE,20211220,20220118
NR,NR2204.INE,20220119,20220216
NR,NR2205.INE,20220217,20220406
NR,NR2206.INE,20220407,20220505
NR,NR2207.INE,20220506,20220530
NR,NR2208.INE,20220531,20220627
NR,NR2209.INE,20220628,20220727
NR,NR2210.INE,20220728,20220829
NR,NR2211.INE,20220830,20220928
NR,NR2212.INE,20220929,20221027
NR,NR2301.INE,20221028,20221128
NR,NR2302.INE,20221129,20221216
NR,NR2303.INE,20221219,20230104
NR,NR2304.INE,20230105,20230202
NR,NR2305.INE,20230203,20230308
NR,NR2306.INE,20230309,20230425
NR,NR2307.INE,20230426,20230525
NR,NR2308.INE,20230526,20230626
NR,NR2309.INE,20230627,20230727
NR,NR2310.INE,20230728,20230828
NR,NR2311.INE,20230829,20230928
NR,NR2312.INE,20231009,20231025
NR,NR2401.INE,20231026,20231201
NR,NR2402.INE,20231204,20231228
NR,NR2403.INE,20231229,20240126
NR,NR2404.INE,20240129,20240301
NR,NR2405.INE,20240304,20240402
NR,NR2406.INE,20240403,20240508
NR,NR2407.INE,20240509,20240604
NR,NR2408.INE,20240605,20240628
