symbol,contract,start,end
OI,RO005.CZC,20091023,20091217
OI,RO009.CZC,20091218,20100521
OI,RO101.CZC,20100524,20100928
OI,RO105.CZC,20100929,20110119
OI,RO109.CZC,20110120,20110520
OI,RO201.CZC,20110523,20111011
OI,RO205.CZC,20111012,20120213
OI,RO209.CZC,20120214,20120509
OI,RO301.CZC,20120510,20120713
OI,RO301.CZC,20120716,20121115
OI,RO305.CZC,20121116,20130325
OI,OI1309.CZC,20130326,20130606
OI,OI1401.CZC,20130607,20131021
OI,OI1405.CZC,20131022,20140129
OI,OI1409.CZC,20140130,20140605
OI,OI1501.CZC,20140606,20141113
OI,OI1505.CZC,20141114,20150309
OI,OI509.CZC,20150310,20150611
OI,OI601.CZC,20150612,20151109
OI,OI605.CZC,20151110,20160307
OI,OI609.CZC,20160308,20160701
OI,OI701.CZC,20160704,20161121
OI,OI705.CZC,20161122,20170314
OI,OI709.CZC,20170315,20170704
OI,OI801.CZC,20170705,20171116
OI,OI805.CZC,20171117,20180320
OI,OI809.CZC,20180321,20180629
OI,OI901.CZC,20180702,20181203
OI,OI905.CZC,20181204,20190401
OI,OI909.CZC,20190402,20190730
OI,OI001.CZC,20190731,20191209
OI,OI005.CZC,20191210,20200330
OI,OI009.CZC,20200331,20200817
OI,OI101.CZC,20200818,20201215
OI,OI105.CZC,20201216,20210415
OI,OI109.CZC,20210416,20210817
OI,OI201.CZC,20210818,20211213
OI,OI205.CZC,20211214,20220407
OI,OI209.CZC,20220408,20220816
OI,OI301.CZC,20220817,20221214
OI,OI305.CZC,20221215,20230417
OI,OI309.CZC,20230418,20230818
OI,OI401.CZC,20230821,20231215
OI,OI405.CZC,20231218,20240410
OI,OI409.CZC,20240411,20240628
