symbol,contract,start,end
PG,PG2011.DCE,20200330,20201023
PG,PG2012.DCE,20201026,20201123
PG,PG2101.DCE,20201124,20201218
PG,PG2102.DCE,20201221,20210122
PG,PG2103.DCE,20210125,20210223
PG,PG2104.DCE,20210224,20210323
PG,PG2105.DCE,20210324,20210415
PG,PG2106.DCE,20210416,20210521
PG,PG2107.DCE,20210524,20210610
PG,PG2108.DCE,20210611,20210715
PG,PG2109.DCE,20210716,20210816
PG,PG2110.DCE,20210817,20210915
PG,PG2111.DCE,20210916,20211018
PG,PG2112.DCE,20211019,20211122
PG,PG2201.DCE,20211123,20211216
PG,PG2202.DCE,20211217,20220121
PG,PG2203.DCE,20220124,20220223
PG,PG2204.DCE,20220224,20220321
PG,PG2205.DCE,20220322,20220420
PG,PG2206.DCE,20220421,20220525
PG,PG2207.DCE,20220526,20220624
PG,PG2208.DCE,20220627,20220725
PG,PG2209.DCE,20220726,20220819
PG,PG2210.DCE,20220822,20220923
PG,PG2211.DCE,20220926,20221026
PG,PG2212.DCE,20221027,20221122
PG,PG2301.DCE,20221123,20221222
PG,PG2302.DCE,20221223,20230117
PG,PG2303.DCE,20230118,20230222
PG,PG2304.DCE,20230223,20230317
PG,PG2305.DCE,20230320,20230419
PG,PG2306.DCE,20230420,20230519
PG,PG2307.DCE,20230522,20230615
PG,PG2309.DCE,20230616,20230824
PG,PG2310.DCE,20230825,20230921
PG,PG2311.DCE,20230922,20231025
PG,PG2312.DCE,20231026,20231120
PG,PG2401.DCE,20231121,20231220
PG,PG2402.DCE,20231221,20240122
PG,PG2403.DCE,20240123,20240228
PG,PG2404.DCE,20240229,20240321
PG,PG2405.DCE,20240322,20240419
PG,PG2406.DCE,20240422,20240523
PG,PG2409.DCE,20240524,20240628
