symbol,contract,start,end
PP,PP1405.DCE,20140228,20140303
PP,PP1409.DCE,20140304,20140729
PP,PP1501.DCE,20140730,20141124
PP,PP1505.DCE,20141125,20150313
PP,PP1509.DCE,20150316,20150803
PP,PP1601.DCE,20150804,20151124
PP,PP1605.DCE,20151125,20160325
PP,PP1609.DCE,20160328,20160810
PP,PP1701.DCE,20160811,20161130
PP,PP1705.DCE,20161201,20170410
PP,PP1709.DCE,20170411,20170808
PP,PP1801.DCE,20170809,20171130
PP,PP1805.DCE,20171201,20180404
PP,PP1809.DCE,20180409,20180806
PP,PP1901.DCE,20180807,20181205
PP,PP1905.DCE,20181206,20190404
PP,PP1909.DCE,20190408,20190731
PP,PP2001.DCE,20190801,20191205
PP,PP2005.DCE,20191206,20200326
PP,PP2009.DCE,20200327,20200819
PP,PP2101.DCE,20200820,20201215
PP,PP2105.DCE,20201216,20210421
PP,PP2109.DCE,20210422,20210819
PP,PP2201.DCE,20210820,20211216
PP,PP2205.DCE,20211217,20220420
PP,PP2209.DCE,20220421,20220819
PP,PP2301.DCE,20220822,20221216
PP,PP2305.DCE,20221219,20230414
PP,PP2309.DCE,20230417,20230817
PP,PP2401.DCE,20230818,20231213
PP,PP2405.DCE,20231214,20240412
PP,PP2409.DCE,20240415,20240628
