symbol,contract,start,end
P,P1009.DCE,20091127,20100427
P,P1101.DCE,20100428,20100907
P,P1105.DCE,20100908,20101104
P,P1109.DCE,20101105,20110411
P,P1201.DCE,20110412,20110718
P,P1205.DCE,20110719,20120113
P,P1209.DCE,20120116,20120605
P,P1301.DCE,20120606,20121019
P,P1305.DCE,20121022,20130204
P,P1309.DCE,20130205,20130613
P,P1401.DCE,20130614,20131029
P,P1405.DCE,20131030,20140225
P,P1409.DCE,20140226,20140613
P,P1501.DCE,20140616,20141105
P,P1505.DCE,20141106,20150304
P,P1509.DCE,20150305,20150603
P,P1601.DCE,20150604,20151126
P,P1605.DCE,20151127,20160314
P,P1609.DCE,20160315,20160705
P,P1701.DCE,20160706,20161122
P,P1705.DCE,20161123,20170308
P,P1709.DCE,20170309,20170704
P,P1801.DCE,20170705,20171117
P,P1805.DCE,20171120,20180320
P,P1809.DCE,20180321,20180719
P,P1901.DCE,20180720,20181130
P,P1905.DCE,20181203,20190409
P,P1909.DCE,20190410,20190802
P,P2001.DCE,20190805,20191126
P,P2005.DCE,20191127,20200326
P,P2009.DCE,20200327,20200813
P,P2101.DCE,20200814,20201209
P,P2102.DCE,20201210,20201211
P,P2105.DCE,20201214,20210412
P,P2109.DCE,20210413,20210817
P,P2201.DCE,20210818,20211210
P,P2205.DCE,20211213,20220406
P,P2209.DCE,20220407,20220817
P,P2301.DCE,20220818,20221213
P,P2305.DCE,20221214,20230417
P,P2309.DCE,20230418,20230814
P,P2401.DCE,20230815,20231212
P,P2405.DCE,20231213,20240410
P,P2409.DCE,20240411,20240628
