symbol,contract,start,end
RB,RB1005.SHF,20091130,20100308
RB,RB1010.SHF,20100309,20100715
RB,RB1101.SHF,20100716,20101013
RB,RB1105.SHF,20101014,20110201
RB,RB1110.SHF,20110209,20110804
RB,RB1201.SHF,20110805,20111102
RB,RB1205.SHF,20111103,20120301
RB,RB1210.SHF,20120302,20120710
RB,RB1301.SHF,20120711,20121022
RB,RB1305.SHF,20121023,20130208
RB,RB1310.SHF,20130218,20130702
RB,RB1401.SHF,20130703,20131030
RB,RB1405.SHF,20131031,20140303
RB,RB1410.SHF,20140304,20140703
RB,RB1501.SHF,20140704,20141017
RB,RB1505.SHF,20141020,20150306
RB,RB1510.SHF,20150309,20150717
RB,RB1601.SHF,20150720,20151103
RB,RB1605.SHF,20151104,20160311
RB,RB1610.SHF,20160314,20160817
RB,RB1701.SHF,20160818,20161125
RB,RB1705.SHF,20161128,20170322
RB,RB1710.SHF,20170323,20170807
RB,RB1801.SHF,20170808,20171108
RB,RB1805.SHF,20171109,20180327
RB,RB1810.SHF,20180328,20180816
RB,RB1901.SHF,20180817,20181127
RB,RB1905.SHF,20181128,20190329
RB,RB1910.SHF,20190401,20190821
RB,RB2001.SHF,20190822,20191204
RB,RB2005.SHF,20191205,20200319
RB,RB2010.SHF,20200320,20200825
RB,RB2101.SHF,20200826,20201207
RB,RB2105.SHF,20201208,20210406
RB,RB2110.SHF,20210407,20210810
RB,RB2201.SHF,20210811,20211125
RB,RB2205.SHF,20211126,20220328
RB,RB2210.SHF,20220329,20220830
RB,RB2301.SHF,20220831,20221201
RB,RB2305.SHF,20221202,20230404
RB,RB2310.SHF,20230406,20230904
RB,RB2401.SHF,20230905,20231206
RB,RB2405.SHF,20231207,20240402
RB,RB2410.SHF,20240403,20240628
