symbol,contract,start,end
RI,ER005.CZC,20091111,20100226
RI,ER009.CZC,20100301,20100625
RI,ER101.CZC,20100628,20100920
RI,ER105.CZC,20100921,20110114
RI,ER109.CZC,20110117,20110708
RI,ER201.CZC,20110711,20111017
RI,ER205.CZC,20111018,20120206
RI,ER209.CZC,20120207,20120614
RI,ER301.CZC,20120615,20121116
RI,ER305.CZC,20121119,20130412
RI,RI1309.CZC,20130415,20130722
RI,RI1401.CZC,20130723,20131101
RI,RI1405.CZC,20131104,20140421
RI,RI1409.CZC,20140422,20140826
RI,RI1501.CZC,20140827,20141231
RI,RI1505.CZC,20150105,20150319
RI,RI601.CZC,20150320,20151231
RI,RI605.CZC,20160104,20160111
RI,RI605.CZC,20160112,20160115
RI,RI605.CZC,20160118,20160119
RI,RI605.CZC,20160120,20160120
RI,RI609.CZC,20160121,20160128
RI,RI609.CZC,20160129,20160429
RI,RI609.CZC,20160503,20160517
RI,RI703.CZC,20160518,20160704
RI,RI701.CZC,20160705,20160919
RI,RI709.CZC,20160920,20161118
RI,RI709.CZC,20161121,20161212
RI,RI703.CZC,20161213,20161229
RI,RI709.CZC,20161230,20170118
RI,RI709.CZC,20170119,20170905
RI,RI801.CZC,20170906,20171030
RI,RI807.CZC,20171031,20171031
RI,RI801.CZC,20171101,20171102
RI,RI807.CZC,20171103,20171103
RI,RI801.CZC,20171106,20171108
RI,RI807.CZC,20171109,20171113
RI,RI801.CZC,20171114,20171114
RI,RI807.CZC,20171115,20171115
RI,RI801.CZC,20171116,20171227
RI,RI807.CZC,20171228,20180226
RI,RI901.CZC,20180227,20180227
RI,RI807.CZC,20180228,20180321
RI,RI811.CZC,20180322,20180322
RI,RI807.CZC,20180323,20180328
RI,RI811.CZC,20180329,20181113
RI,RI909.CZC,20181114,20190916
RI,RI911.CZC,20190917,20191009
RI,RI005.CZC,20191010,20200427
RI,RI009.CZC,20200428,20200911
RI,RI101.CZC,20200914,20201013
RI,RI011.CZC,20201014,20201112
RI,RI101.CZC,20201113,20210108
RI,RI111.CZC,20210111,20210111
RI,RI101.CZC,20210112,20210114
RI,RI103.CZC,20210115,20210311
RI,RI105.CZC,20210312,20210331
RI,RI111.CZC,20210401,20210401
RI,RI105.CZC,20210402,20210429
RI,RI111.CZC,20210430,20210430
RI,RI105.CZC,20210506,20210518
RI,RI107.CZC,20210519,20210713
RI,RI109.CZC,20210714,20210806
RI,RI201.CZC,20210809,20211231
RI,RI207.CZC,20220104,20220713
RI,RI209.CZC,20220714,20220914
RI,RI211.CZC,20220915,20221111
RI,RI301.CZC,20221114,20230113
RI,RI303.CZC,20230116,20230313
RI,RI305.CZC,20230314,20230516
RI,RI307.CZC,20230517,20230713
RI,RI309.CZC,20230714,20230913
RI,RI311.CZC,20230914,20231113
RI,RI401.CZC,20231114,20240112
RI,RI403.CZC,20240115,20240313
RI,RI405.CZC,20240314,20240516
RI,RI407.CZC,20240517,20240628
