symbol,contract,start,end
RM,RM1305.CZC,20121228,20130208
RM,RM1309.CZC,20130218,20130524
RM,RM1401.CZC,20130527,20131111
RM,RM1405.CZC,20131112,20140124
RM,RM1409.CZC,20140127,20140723
RM,RM1501.CZC,20140724,20141111
RM,RM1505.CZC,20141112,20150302
RM,RM509.CZC,20150303,20150723
RM,RM601.CZC,20150724,20151130
RM,RM605.CZC,20151201,20160311
RM,RM609.CZC,20160314,20160804
RM,RM701.CZC,20160805,20161125
RM,RM705.CZC,20161128,20170317
RM,RM709.CZC,20170320,20170801
RM,RM801.CZC,20170802,20171205
RM,RM805.CZC,20171206,20180326
RM,RM809.CZC,20180327,20180725
RM,RM901.CZC,20180726,20181126
RM,RM905.CZC,20181127,20190329
RM,RM909.CZC,20190401,20190807
RM,RM001.CZC,20190808,20191203
RM,RM005.CZC,20191204,20200318
RM,RM009.CZC,20200319,20200817
RM,RM101.CZC,20200818,20201214
RM,RM105.CZC,20201215,20210416
RM,RM109.CZC,20210419,20210813
RM,RM201.CZC,20210816,20211215
RM,RM205.CZC,20211216,20220328
RM,RM209.CZC,20220329,20220627
RM,RM301.CZC,20220628,20221215
RM,RM305.CZC,20221216,20230414
RM,RM309.CZC,20230417,20230816
RM,RM401.CZC,20230817,20231214
RM,RM403.CZC,20231215,20240117
RM,RM405.CZC,20240118,20240408
RM,RM409.CZC,20240409,20240628
