symbol,contract,start,end
RR,RR2001.DCE,20190816,20191212
RR,RR2005.DCE,20191213,20200324
RR,RR2009.DCE,20200325,20200811
RR,RR2010.DCE,20200812,20200903
RR,RR2012.DCE,20200904,20201102
RR,RR2101.DCE,20201103,20201117
RR,RR2103.DCE,20201118,20201119
RR,RR2101.DCE,20201120,20201120
RR,RR2103.DCE,20201123,20201123
RR,RR2102.DCE,20201124,20210104
RR,RR2104.DCE,20210105,20210301
RR,RR2105.DCE,20210302,20210401
RR,RR2108.DCE,20210402,20210402
RR,RR2106.DCE,20210406,20210430
RR,RR2107.DCE,20210506,20210528
RR,RR2108.DCE,20210531,20210702
RR,RR2109.DCE,20210705,20210803
RR,RR2110.DCE,20210804,20210830
RR,RR2112.DCE,20210831,20210901
RR,RR2111.DCE,20210902,20210928
RR,RR2112.DCE,20210929,20211101
RR,RR2201.DCE,20211102,20211203
RR,RR2202.DCE,20211206,20220105
RR,RR2203.DCE,20220106,20220211
RR,RR2205.DCE,20220214,20220418
RR,RR2206.DCE,20220419,20220511
RR,RR2207.DCE,20220512,20220609
RR,RR2208.DCE,20220610,20220704
RR,RR2209.DCE,20220705,20220815
RR,RR2210.DCE,20220816,20220915
RR,RR2211.DCE,20220916,20221013
RR,RR2212.DCE,20221014,20221031
RR,RR2301.DCE,20221101,20221206
RR,RR2302.DCE,20221207,20230105
RR,RR2303.DCE,20230106,20230206
RR,RR2304.DCE,20230207,20230314
RR,RR2306.DCE,20230315,20230315
RR,RR2307.DCE,20230316,20230316
RR,RR2306.DCE,20230317,20230317
RR,RR2304.DCE,20230320,20230320
RR,RR2305.DCE,20230321,20230403
RR,RR2306.DCE,20230404,20230421
RR,RR2307.DCE,20230424,20230606
RR,RR2308.DCE,20230607,20230627
RR,RR2309.DCE,20230628,20230724
RR,RR2310.DCE,20230725,20230831
RR,RR2311.DCE,20230901,20231009
RR,RR2312.DCE,20231010,20231103
RR,RR2401.DCE,20231106,20231214
RR,RR2402.DCE,20231215,20240119
RR,RR2403.DCE,20240122,20240207
RR,RR2405.DCE,20240208,20240208
RR,RR2403.DCE,20240219,20240220
RR,RR2404.DCE,20240221,20240314
RR,RR2408.DCE,20240315,20240628
