symbol,contract,start,end
RU,RU1003.SHF,20091112,20091229
RU,RU1005.SHF,20091230,20100301
RU,RU1009.SHF,20100302,20100621
RU,RU1011.SHF,20100622,20100729
RU,RU1101.SHF,20100730,20100910
RU,RU1103.SHF,20100913,20101025
RU,RU1105.SHF,20101026,20110316
RU,RU1109.SHF,20110317,20110704
RU,RU1201.SHF,20110705,20111115
RU,RU1205.SHF,20111116,20120405
RU,RU1209.SHF,20120406,20120720
RU,RU1301.SHF,20120723,20121101
RU,RU1305.SHF,20121102,20130218
RU,RU1309.SHF,20130219,20130627
RU,RU1401.SHF,20130628,20131101
RU,RU1405.SHF,20131104,20140227
RU,RU1409.SHF,20140228,20140722
RU,RU1501.SHF,20140723,20141120
RU,RU1505.SHF,20141121,20150217
RU,RU1509.SHF,20150225,20150715
RU,RU1601.SHF,20150716,20151123
RU,RU1605.SHF,20151124,20160316
RU,RU1609.SHF,20160317,20160802
RU,RU1701.SHF,20160803,20161118
RU,RU1705.SHF,20161121,20170323
RU,RU1709.SHF,20170324,20170801
RU,RU1801.SHF,20170802,20171127
RU,RU1805.SHF,20171128,20180328
RU,RU1809.SHF,20180329,20180807
RU,RU1901.SHF,20180808,20181129
RU,RU1905.SHF,20181130,20190321
RU,RU1909.SHF,20190322,20190807
RU,RU2001.SHF,20190808,20191126
RU,RU2005.SHF,20191127,20200319
RU,RU2009.SHF,20200320,20200805
RU,RU2101.SHF,20200806,20201201
RU,RU2105.SHF,20201202,20210402
RU,RU2109.SHF,20210406,20210809
RU,RU2201.SHF,20210810,20211124
RU,RU2205.SHF,20211125,20220331
RU,RU2209.SHF,20220401,20220809
RU,RU2301.SHF,20220810,20221205
RU,RU2305.SHF,20221206,20230403
RU,RU2309.SHF,20230404,20230808
RU,RU2401.SHF,20230809,20231204
RU,RU2405.SHF,20231205,20240327
RU,RU2409.SHF,20240328,20240628
