symbol,contract,start,end
SCTAS,SC2011TAS.INE,20201012,20201013
SCTAS,SC2012TAS.INE,20201014,20201014
SCTAS,SC2011TAS.INE,20201015,20201016
SCTAS,SC2012TAS.INE,20201019,20201117
SCTAS,SC2101TAS.INE,20201118,20201211
SCTAS,SC2102TAS.INE,20201214,20210114
SCTAS,SC2103TAS.INE,20210115,20210115
SCTAS,SC2102TAS.INE,20210118,20210118
SCTAS,SC2103TAS.INE,20210119,20210208
SCTAS,SC2104TAS.INE,20210209,20210318
SCTAS,SC2105TAS.INE,20210319,20210419
SCTAS,SC2106TAS.INE,20210420,20210420
SCTAS,SC2307TAS.INE,20230613,20230615
SCTAS,SC2308TAS.INE,20230616,20230718
SCTAS,SC2309TAS.INE,20230719,20230818
SCTAS,SC2310TAS.INE,20230821,20230915
SCTAS,SC2311TAS.INE,20230918,20231018
SCTAS,SC2312TAS.INE,20231019,20231103
