symbol,contract,start,end
SC,SC1809.INE,20180326,20180808
SC,SC1812.INE,20180809,20181116
SC,SC1901.INE,20181119,20181217
SC,SC1903.INE,20181218,20190215
SC,SC1904.INE,20190218,20190315
SC,SC1905.INE,20190318,20190416
SC,SC1906.INE,20190417,20190520
SC,SC1907.INE,20190521,20190617
SC,SC1908.INE,20190618,20190715
SC,SC1909.INE,20190716,20190814
SC,SC1910.INE,20190815,20190906
SC,SC1911.INE,20190909,20191010
SC,SC1912.INE,20191011,20191114
SC,SC2001.INE,20191115,20191209
SC,SC2002.INE,20191210,20200102
SC,SC2003.INE,20200103,20200204
SC,SC2004.INE,20200205,20200226
SC,SC2005.INE,20200227,20200317
SC,SC2006.INE,20200318,20200423
SC,SC2007.INE,20200424,20200616
SC,SC2008.INE,20200617,20200716
SC,SC2009.INE,20200717,20200817
SC,SC2010.INE,20200818,20200911
SC,SC2011.INE,20200914,20201015
SC,SC2012.INE,20201016,20201113
SC,SC2101.INE,20201116,20201211
SC,SC2102.INE,20201214,20210113
SC,SC2103.INE,20210114,20210209
SC,SC2104.INE,20210210,20210312
SC,SC2105.INE,20210315,20210416
SC,SC2106.INE,20210419,20210517
SC,SC2107.INE,20210518,20210616
SC,SC2108.INE,20210617,20210719
SC,SC2109.INE,20210720,20210817
SC,SC2110.INE,20210818,20210909
SC,SC2111.INE,20210910,20211015
SC,SC2112.INE,20211018,20211117
SC,SC2201.INE,20211118,20211213
SC,SC2202.INE,20211214,20220111
SC,SC2203.INE,20220112,20220211
SC,SC2204.INE,20220214,20220318
SC,SC2205.INE,20220321,20220418
SC,SC2206.INE,20220419,20220518
SC,SC2207.INE,20220519,20220617
SC,SC2208.INE,20220620,20220718
SC,SC2209.INE,20220719,20220816
SC,SC2210.INE,20220817,20220913
SC,SC2211.INE,20220914,20221014
SC,SC2212.INE,20221017,20221115
SC,SC2301.INE,20221116,20221212
SC,SC2302.INE,20221213,20230104
SC,SC2303.INE,20230105,20230213
SC,SC2304.INE,20230214,20230317
SC,SC2305.INE,20230320,20230417
SC,SC2306.INE,20230418,20230517
SC,SC2307.INE,20230518,20230615
SC,SC2308.INE,20230616,20230717
SC,SC2309.INE,20230718,20230817
SC,SC2310.INE,20230818,20230918
SC,SC2311.INE,20230919,20231018
SC,SC2312.INE,20231019,20231117
SC,SC2401.INE,20231120,20231215
SC,SC2402.INE,20231218,20240118
SC,SC2403.INE,20240119,20240219
SC,SC2404.INE,20240220,20240319
SC,SC2405.INE,20240320,20240416
SC,SC2406.INE,20240417,20240517
SC,SC2407.INE,20240520,20240618
SC,SC2408.INE,20240619,20240628
