symbol,contract,start,end
SF,SF1501.CZC,20140808,20141224
SF,SF1505.CZC,20141225,20150430
SF,SF509.CZC,20150504,20150811
SF,SF601.CZC,20150812,20160104
SF,SF605.CZC,20160105,20160503
SF,SF609.CZC,20160504,20160708
SF,SF706.CZC,20160711,20160728
SF,SF609.CZC,20160729,20160901
SF,SF701.CZC,20160902,20160927
SF,SF705.CZC,20160928,20160928
SF,SF701.CZC,20160929,20161230
SF,SF705.CZC,20170103,20170220
SF,SF801.CZC,20170221,20170314
SF,SF705.CZC,20170315,20170427
SF,SF709.CZC,20170428,20170817
SF,SF801.CZC,20170818,20171215
SF,SF805.CZC,20171218,20180419
SF,SF809.CZC,20180420,20180815
SF,SF901.CZC,20180816,20181221
SF,SF905.CZC,20181224,20190422
SF,SF909.CZC,20190423,20190822
SF,SF001.CZC,20190823,20191220
SF,SF005.CZC,20191223,20200409
SF,SF009.CZC,20200410,20200608
SF,SF010.CZC,20200609,20200929
SF,SF101.CZC,20200930,20201221
SF,SF105.CZC,20201222,20210416
SF,SF109.CZC,20210419,20210817
SF,SF201.CZC,20210818,20211220
SF,SF205.CZC,20211221,20220414
SF,SF209.CZC,20220415,20220819
SF,SF210.CZC,20220822,20220914
SF,SF211.CZC,20220915,20221020
SF,SF301.CZC,20221021,20221220
SF,SF303.CZC,20221221,20230203
SF,SF305.CZC,20230206,20230417
SF,SF306.CZC,20230418,20230510
SF,SF307.CZC,20230511,20230605
SF,SF309.CZC,20230606,20230713
SF,SF310.CZC,20230714,20230901
SF,SF311.CZC,20230904,20231010
SF,SF312.CZC,20231011,20231106
SF,SF402.CZC,20231107,20240102
SF,SF403.CZC,20240103,20240202
SF,SF405.CZC,20240205,20240416
SF,SF406.CZC,20240417,20240426
SF,SF409.CZC,20240429,20240628
