symbol,contract,start,end
SM,SM1501.CZC,20140808,20150116
SM,SM1505.CZC,20150119,20150504
SM,SM601.CZC,20150505,20150630
SM,SM604.CZC,20150701,20150728
SM,SM607.CZC,20150729,20151106
SM,SM609.CZC,20151109,20160830
SM,SM701.CZC,20160831,20161213
SM,SM705.CZC,20161214,20170414
SM,SM709.CZC,20170417,20170810
SM,SM801.CZC,20170811,20171221
SM,SM805.CZC,20171222,20180424
SM,SM809.CZC,20180425,20180814
SM,SM901.CZC,20180815,20181221
SM,SM905.CZC,20181224,20190418
SM,SM909.CZC,20190419,20190819
SM,SM001.CZC,20190820,20191213
SM,SM005.CZC,20191216,20200410
SM,SM009.CZC,20200413,20200825
SM,SM101.CZC,20200826,20201216
SM,SM105.CZC,20201217,20210420
SM,SM109.CZC,20210421,20210818
SM,SM201.CZC,20210819,20211221
SM,SM205.CZC,20211222,20220415
SM,SM209.CZC,20220418,20220824
SM,SM301.CZC,20220825,20221220
SM,SM305.CZC,20221221,20230414
SM,SM306.CZC,20230417,20230515
SM,SM309.CZC,20230516,20230718
SM,SM310.CZC,20230719,20230831
SM,SM311.CZC,20230901,20231010
SM,SM312.CZC,20231011,20231103
SM,SM402.CZC,20231106,20240102
SM,SM403.CZC,20240103,20240201
SM,SM405.CZC,20240202,20240412
SM,SM409.CZC,20240415,20240628
