symbol,contract,start,end
SN,SN1507.SHF,20150327,20150701
SN,SN1509.SHF,20150702,20150911
SN,SN1601.SHF,20150914,20151221
SN,SN1605.SHF,20151222,20160503
SN,SN1609.SHF,20160504,20160830
SN,SN1701.SHF,20160831,20161229
SN,SN1705.SHF,20161230,20170425
SN,SN1709.SHF,20170426,20170829
SN,SN1801.SHF,20170830,20171222
SN,SN1805.SHF,20171225,20180417
SN,SN1809.SHF,20180418,20180814
SN,SN1901.SHF,20180815,20181205
SN,SN1905.SHF,20181206,20190409
SN,SN1909.SHF,20190410,20190808
SN,SN2001.SHF,20190809,20191203
SN,SN2005.SHF,20191204,20191231
SN,SN2006.SHF,20200102,20200427
SN,SN2007.SHF,20200428,20200528
SN,SN2008.SHF,20200529,20200701
SN,SN2009.SHF,20200702,20200727
SN,SN2010.SHF,20200728,20200826
SN,SN2011.SHF,20200827,20200929
SN,SN2012.SHF,20200930,20201027
SN,SN2101.SHF,20201028,20201201
SN,SN2102.SHF,20201202,20201228
SN,SN2103.SHF,20201229,20210205
SN,SN2104.SHF,20210208,20210308
SN,SN2105.SHF,20210309,20210401
SN,SN2106.SHF,20210402,20210507
SN,SN2107.SHF,20210510,20210617
SN,SN2108.SHF,20210618,20210723
SN,SN2109.SHF,20210726,20210827
SN,SN2110.SHF,20210830,20210927
SN,SN2111.SHF,20210928,20211025
SN,SN2112.SHF,20211026,20211124
SN,SN2201.SHF,20211125,20211223
SN,SN2202.SHF,20211224,20220121
SN,SN2203.SHF,20220124,20220223
SN,SN2205.SHF,20220224,20220426
SN,SN2206.SHF,20220427,20220530
SN,SN2207.SHF,20220531,20220628
SN,SN2208.SHF,20220629,20220726
SN,SN2209.SHF,20220727,20220822
SN,SN2210.SHF,20220823,20220926
SN,SN2211.SHF,20220927,20221017
SN,SN2212.SHF,20221018,20221128
SN,SN2301.SHF,20221129,20221223
SN,SN2302.SHF,20221226,20230116
SN,SN2303.SHF,20230117,20230227
SN,SN2304.SHF,20230228,20230329
SN,SN2305.SHF,20230330,20230420
SN,SN2306.SHF,20230421,20230526
SN,SN2307.SHF,20230529,20230621
SN,SN2308.SHF,20230626,20230726
SN,SN2309.SHF,20230727,20230821
SN,SN2310.SHF,20230822,20230922
SN,SN2311.SHF,20230925,20231024
SN,SN2312.SHF,20231025,20231123
SN,SN2401.SHF,20231124,20231220
SN,SN2402.SHF,20231221,20240123
SN,SN2403.SHF,20240124,20240226
SN,SN2404.SHF,20240227,20240320
SN,SN2405.SHF,20240321,20240418
SN,SN2406.SHF,20240419,20240524
SN,SN2407.SHF,20240527,20240621
SN,SN2408.SHF,20240624,20240628
