symbol,contract,start,end
SP,SP1906.SHF,20181127,20190430
SP,SP1909.SHF,20190506,20190808
SP,SP2001.SHF,20190809,20191211
SP,SP2005.SHF,20191212,20200402
SP,SP2009.SHF,20200403,20200811
SP,SP2012.SHF,20200812,20201111
SP,SP2101.SHF,20201112,20201207
SP,SP2103.SHF,20201208,20210205
SP,SP2105.SHF,20210208,20210414
SP,SP2106.SHF,20210415,20210520
SP,SP2107.SHF,20210521,20210615
SP,SP2109.SHF,20210616,20210820
SP,SP2110.SHF,20210823,20210924
SP,SP2111.SHF,20210927,20211026
SP,SP2112.SHF,20211027,20211117
SP,SP2201.SHF,20211118,20211215
SP,SP2205.SHF,20211216,20220407
SP,SP2209.SHF,20220408,20220816
SP,SP2301.SHF,20220817,20221216
SP,SP2305.SHF,20221219,20230418
SP,SP2309.SHF,20230419,20230814
SP,SP2401.SHF,20230815,20231214
SP,SP2405.SHF,20231215,20240411
SP,SP2409.SHF,20240412,20240628
