symbol,contract,start,end
SR,SR1009.CZC,20091119,20100315
SR,SR1101.CZC,20100316,20100817
SR,SR1105.CZC,20100818,20101029
SR,SR1109.CZC,20101101,20110613
SR,SR1201.CZC,20110614,20110914
SR,SR1205.CZC,20110915,20111226
SR,SR1209.CZC,20111227,20120522
SR,SR1301.CZC,20120523,20121026
SR,SR1305.CZC,20121029,20130122
SR,SR1309.CZC,20130123,20130626
SR,SR1401.CZC,20130627,20131107
SR,SR1405.CZC,20131108,20140221
SR,SR1409.CZC,20140224,20140617
SR,SR1501.CZC,20140618,20141107
SR,SR1505.CZC,20141110,20150213
SR,SR509.CZC,20150216,20150619
SR,SR601.CZC,20150623,20151116
SR,SR605.CZC,20151117,20160229
SR,SR609.CZC,20160301,20160719
SR,SR701.CZC,20160720,20161206
SR,SR705.CZC,20161207,20170330
SR,SR709.CZC,20170331,20170714
SR,SR801.CZC,20170717,20171213
SR,SR805.CZC,20171214,20180329
SR,SR809.CZC,20180330,20180727
SR,SR901.CZC,20180730,20181109
SR,SR905.CZC,20181112,20190315
SR,SR909.CZC,20190318,20190725
SR,SR001.CZC,20190726,20191202
SR,SR005.CZC,20191203,20200313
SR,SR009.CZC,20200316,20200807
SR,SR101.CZC,20200810,20201204
SR,SR105.CZC,20201207,20210326
SR,SR109.CZC,20210329,20210812
SR,SR201.CZC,20210813,20211207
SR,SR205.CZC,20211208,20220408
SR,SR209.CZC,20220411,20220811
SR,SR301.CZC,20220812,20221125
SR,SR303.CZC,20221128,20230201
SR,SR305.CZC,20230202,20230324
SR,SR307.CZC,20230327,20230525
SR,SR309.CZC,20230526,20230801
SR,SR401.CZC,20230802,20231205
SR,SR405.CZC,20231206,20240409
SR,SR409.CZC,20240410,20240628
