symbol,contract,start,end
SS,SS2002.SHF,20190925,20191230
SS,SS2006.SHF,20191231,20200427
SS,SS2007.SHF,20200428,20200528
SS,SS2008.SHF,20200529,20200702
SS,SS2009.SHF,20200703,20200803
SS,SS2010.SHF,20200804,20200827
SS,SS2011.SHF,20200828,20201009
SS,SS2012.SHF,20201012,20201027
SS,SS2101.SHF,20201028,20201127
SS,SS2102.SHF,20201130,20201229
SS,SS2103.SHF,20201230,20210203
SS,SS2104.SHF,20210204,20210301
SS,SS2105.SHF,20210302,20210401
SS,SS2106.SHF,20210402,20210507
SS,SS2107.SHF,20210510,20210622
SS,SS2108.SHF,20210623,20210727
SS,SS2109.SHF,20210728,20210825
SS,SS2110.SHF,20210826,20210928
SS,SS2111.SHF,20210929,20211025
SS,SS2112.SHF,20211026,20211111
SS,SS2201.SHF,20211112,20211215
SS,SS2202.SHF,20211216,20220120
SS,SS2203.SHF,20220121,20220218
SS,SS2204.SHF,20220221,20220328
SS,SS2205.SHF,20220329,20220425
SS,SS2206.SHF,20220426,20220527
SS,SS2207.SHF,20220530,20220624
SS,SS2208.SHF,20220627,20220726
SS,SS2209.SHF,20220727,20220825
SS,SS2210.SHF,20220826,20220926
SS,SS2211.SHF,20220927,20221026
SS,SS2212.SHF,20221027,20221124
SS,SS2301.SHF,20221125,20221222
SS,SS2302.SHF,20221223,20230118
SS,SS2303.SHF,20230119,20230223
SS,SS2304.SHF,20230224,20230323
SS,SS2305.SHF,20230324,20230419
SS,SS2306.SHF,20230420,20230523
SS,SS2307.SHF,20230524,20230626
SS,SS2308.SHF,20230627,20230720
SS,SS2309.SHF,20230721,20230814
SS,SS2310.SHF,20230815,20230908
SS,SS2311.SHF,20230911,20231020
SS,SS2312.SHF,20231023,20231114
SS,SS2401.SHF,20231115,20231211
SS,SS2402.SHF,20231212,20240112
SS,SS2403.SHF,20240115,20240208
SS,SS2405.SHF,20240219,20240417
SS,SS2409.SHF,20240418,20240628
