symbol,contract,start,end
TA,TA1001.CZC,20091027,20091202
TA,TA1002.CZC,20091203,20091229
TA,TA1003.CZC,20091230,20100120
TA,TA1005.CZC,20100121,20100326
TA,TA1009.CZC,20100329,20100728
TA,TA1101.CZC,20100729,20101101
TA,TA1105.CZC,20101102,20110323
TA,TA1109.CZC,20110324,20110704
TA,TA1201.CZC,20110705,20111121
TA,TA1205.CZC,20111122,20120314
TA,TA1209.CZC,20120315,20120710
TA,TA1301.CZC,20120711,20121105
TA,TA1305.CZC,20121106,20130221
TA,TA1309.CZC,20130222,20130709
TA,TA1401.CZC,20130710,20131129
TA,TA1405.CZC,20131202,20140310
TA,TA1409.CZC,20140311,20140805
TA,TA1501.CZC,20140806,20141124
TA,TA1505.CZC,20141125,20150330
TA,TA509.CZC,20150331,20150805
TA,TA601.CZC,20150806,20151123
TA,TA605.CZC,20151124,20160329
TA,TA609.CZC,20160330,20160804
TA,TA701.CZC,20160805,20161114
TA,TA705.CZC,20161115,20170406
TA,TA709.CZC,20170407,20170804
TA,TA801.CZC,20170807,20171122
TA,TA805.CZC,20171123,20180326
TA,TA809.CZC,20180327,20180806
TA,TA901.CZC,20180807,20181129
TA,TA905.CZC,20181130,20190408
TA,TA909.CZC,20190409,20190814
TA,TA001.CZC,20190815,20191210
TA,TA005.CZC,20191211,20200326
TA,TA009.CZC,20200327,20200811
TA,TA101.CZC,20200812,20201202
TA,TA105.CZC,20201203,20210401
TA,TA109.CZC,20210402,20210805
TA,TA201.CZC,20210806,20211210
TA,TA205.CZC,20211213,20220412
TA,TA209.CZC,20220413,20220809
TA,TA301.CZC,20220810,20221207
TA,TA305.CZC,20221208,20230410
TA,TA309.CZC,20230411,20230814
TA,TA401.CZC,20230815,20231208
TA,TA405.CZC,20231211,20240409
TA,TA409.CZC,20240410,20240628
