symbol,contract,start,end
TF,TF1312.CFE,20130906,20131127
TF,TF1403.CFE,20131128,20140220
TF,TF1406.CFE,20140221,20140514
TF,TF1409.CFE,20140515,20140813
TF,TF1412.CFE,20140814,20141104
TF,TF1503.CFE,20141105,20150203
TF,TF1506.CFE,20150204,20150514
TF,TF1509.CFE,20150515,20150817
TF,TF1512.CFE,20150818,20151117
TF,TF1603.CFE,20151118,20160204
TF,TF1606.CFE,20160205,20160427
TF,TF1609.CFE,20160428,20160810
TF,TF1612.CFE,20160811,20161109
TF,TF1703.CFE,20161110,20170123
TF,TF1706.CFE,20170124,20170510
TF,TF1709.CFE,20170511,20170809
TF,TF1712.CFE,20170810,20171109
TF,TF1803.CFE,20171110,20180209
TF,TF1806.CFE,20180212,20180515
TF,TF1809.CFE,20180516,20180813
TF,TF1812.CFE,20180814,20181116
TF,TF1903.CFE,20181119,20190219
TF,TF1906.CFE,20190220,20190520
TF,TF1909.CFE,20190521,20190812
TF,TF1912.CFE,20190813,20191119
TF,TF2003.CFE,20191120,20200218
TF,TF2006.CFE,20200219,20200514
TF,TF2009.CFE,20200515,20200819
TF,TF2012.CFE,20200820,20201119
TF,TF2103.CFE,20201120,20210219
TF,TF2106.CFE,20210222,20210520
TF,TF2109.CFE,20210521,20210818
TF,TF2112.CFE,20210819,20211119
TF,TF2203.CFE,20211122,20220216
TF,TF2206.CFE,20220217,20220518
TF,TF2209.CFE,20220519,20220817
TF,TF2212.CFE,20220818,20221117
TF,TF2303.CFE,20221118,20230221
TF,TF2306.CFE,20230222,20230518
TF,TF2309.CFE,20230519,20230822
TF,TF2312.CFE,20230823,20231122
TF,TF2403.CFE,20231123,20240221
TF,TF2406.CFE,20240222,20240521
TF,TF2409.CFE,20240522,20240628
