symbol,contract,start,end
TS,TS1812.CFE,20180817,20181129
TS,TS1903.CFE,20181130,20190227
TS,TS1906.CFE,20190228,20190523
TS,TS1909.CFE,20190524,20190816
TS,TS1912.CFE,20190819,20191111
TS,TS2003.CFE,20191112,20200218
TS,TS2006.CFE,20200219,20200515
TS,TS2009.CFE,20200518,20200821
TS,TS2012.CFE,20200824,20201130
TS,TS2103.CFE,20201201,20210224
TS,TS2106.CFE,20210225,20210519
TS,TS2109.CFE,20210520,20210819
TS,TS2112.CFE,20210820,20211119
TS,TS2203.CFE,20211122,20220221
TS,TS2206.CFE,20220222,20220518
TS,TS2209.CFE,20220519,20220817
TS,TS2212.CFE,20220818,20221122
TS,TS2303.CFE,20221123,20230220
TS,TS2306.CFE,20230221,20230522
TS,TS2309.CFE,20230523,20230823
TS,TS2312.CFE,20230824,20231122
TS,TS2403.CFE,20231123,20240222
TS,TS2406.CFE,20240223,20240520
TS,TS2409.CFE,20240521,20240628
