symbol,contract,start,end
T,T1509.CFE,20150320,20150812
T,T1512.CFE,20150813,20151112
T,T1603.CFE,20151113,20160203
T,T1606.CFE,20160204,20160504
T,T1609.CFE,20160505,20160808
T,T1612.CFE,20160809,20161108
T,T1703.CFE,20161109,20170117
T,T1706.CFE,20170118,20170508
T,T1709.CFE,20170509,20170807
T,T1712.CFE,20170808,20171108
T,T1803.CFE,20171109,20180206
T,T1806.CFE,20180207,20180516
T,T1809.CFE,20180517,20180813
T,T1812.CFE,20180814,20181113
T,T1903.CFE,20181114,20190219
T,T1906.CFE,20190220,20190517
T,T1909.CFE,20190520,20190813
T,T1912.CFE,20190814,20191115
T,T2003.CFE,20191118,20200214
T,T2006.CFE,20200217,20200514
T,T2009.CFE,20200515,20200819
T,T2012.CFE,20200820,20201119
T,T2103.CFE,20201120,20210218
T,T2106.CFE,20210219,20210519
T,T2109.CFE,20210520,20210818
T,T2112.CFE,20210819,20211119
T,T2203.CFE,20211122,20220216
T,T2206.CFE,20220217,20220518
T,T2209.CFE,20220519,20220818
T,T2212.CFE,20220819,20221116
T,T2303.CFE,20221117,20230220
T,T2306.CFE,20230221,20230518
T,T2309.CFE,20230519,20230821
T,T2312.CFE,20230822,20231121
T,T2403.CFE,20231122,20240220
T,T2406.CFE,20240221,20240517
T,T2409.CFE,20240520,20240628
