symbol,contract,start,end
UR,UR001.CZC,20190809,20191211
UR,UR005.CZC,20191212,20200408
UR,UR009.CZC,20200409,20200811
UR,UR101.CZC,20200812,20201218
UR,UR105.CZC,20201221,20210420
UR,UR107.CZC,20210421,20210607
UR,UR109.CZC,20210608,20210812
UR,UR201.CZC,20210813,20211217
UR,UR205.CZC,20211220,20220406
UR,UR209.CZC,20220407,20220808
UR,UR301.CZC,20220809,20221216
UR,UR305.CZC,20221219,20230413
UR,UR309.CZC,20230414,20230808
UR,UR401.CZC,20230809,20231208
UR,UR405.CZC,20231211,20240329
UR,UR409.CZC,20240401,20240628
