symbol,contract,start,end
WR,WR1002.SHF,20091111,20091221
WR,WR1005.SHF,20091222,20100517
WR,WR1010.SHF,20100518,20100929
WR,WR1108.SHF,20100930,20110121
WR,WR1111.SHF,20110124,20110316
WR,WR1112.SHF,20110317,20110318
WR,WR1202.SHF,20110321,20110322
WR,WR1203.SHF,20110323,20110419
WR,WR1204.SHF,20110420,20110518
WR,WR1205.SHF,20110519,20110620
WR,WR1206.SHF,20110621,20110719
WR,WR1207.SHF,20110720,20110817
WR,WR1208.SHF,20110818,20110920
WR,WR1209.SHF,20110921,20111018
WR,WR1210.SHF,20111019,20111116
WR,WR1211.SHF,20111117,20111216
WR,WR1212.SHF,20111219,20120117
WR,WR1301.SHF,20120118,20120217
WR,WR1302.SHF,20120220,20120319
WR,WR1303.SHF,20120320,20120627
WR,WR1305.SHF,20120628,20120816
WR,WR1307.SHF,20120817,20120817
WR,WR1308.SHF,20120820,20120920
WR,WR1309.SHF,20120921,20121019
WR,WR1310.SHF,20121022,20121120
WR,WR1311.SHF,20121121,20121218
WR,WR1312.SHF,20121219,20121221
WR,WR1302.SHF,20121224,20121225
WR,WR1312.SHF,20121226,20130117
WR,WR1401.SHF,20130118,20130220
WR,WR1402.SHF,20130221,20130320
WR,WR1403.SHF,20130321,20130416
WR,WR1404.SHF,20130417,20130517
WR,WR1405.SHF,20130520,20130619
WR,WR1406.SHF,20130620,20130719
WR,WR1407.SHF,20130722,20130819
WR,WR1408.SHF,20130820,20130918
WR,WR1409.SHF,20130923,20131016
WR,WR1410.SHF,20131017,20131118
WR,WR1411.SHF,20131119,20131217
WR,WR1412.SHF,20131218,20140116
WR,WR1501.SHF,20140117,20140218
WR,WR1502.SHF,20140219,20140318
WR,WR1503.SHF,20140319,20140416
WR,WR1504.SHF,20140417,20150331
WR,WR1510.SHF,20150401,20150928
WR,WR1604.SHF,20150929,20151023
WR,WR1511.SHF,20151026,20151030
WR,WR1512.SHF,20151102,20151214
WR,WR1601.SHF,20151215,20160114
WR,WR1602.SHF,20160115,20160126
WR,WR1701.SHF,20160127,20160315
WR,WR1604.SHF,20160316,20160317
WR,WR1606.SHF,20160318,20160324
WR,WR1609.SHF,20160325,20160325
WR,WR1604.SHF,20160328,20160414
WR,WR1605.SHF,20160415,20160425
WR,WR1701.SHF,20160426,20160429
WR,WR1605.SHF,20160503,20160505
WR,WR1610.SHF,20160506,20160516
WR,WR1606.SHF,20160517,20160525
