symbol,contract,start,end
Y,Y1009.DCE,20091111,20100423
Y,Y1101.DCE,20100426,20100806
Y,Y1105.DCE,20100809,20101026
Y,Y1109.DCE,20101027,20110408
Y,Y1201.DCE,20110411,20110711
Y,Y1205.DCE,20110712,20111212
Y,Y1209.DCE,20111213,20120528
Y,Y1301.DCE,20120529,20121009
Y,Y1305.DCE,20121010,20130121
Y,Y1309.DCE,20130122,20130621
Y,Y1401.DCE,20130624,20131016
Y,Y1405.DCE,20131017,20140224
Y,Y1409.DCE,20140225,20140603
Y,Y1501.DCE,20140604,20141031
Y,Y1505.DCE,20141103,20150303
Y,Y1509.DCE,20150304,20150615
Y,Y1601.DCE,20150616,20151116
Y,Y1605.DCE,20151117,20160307
Y,Y1609.DCE,20160308,20160705
Y,Y1701.DCE,20160706,20161108
Y,Y1701.DCE,20161109,20161122
Y,Y1705.DCE,20161123,20170320
Y,Y1709.DCE,20170321,20170726
Y,Y1801.DCE,20170727,20171130
Y,Y1805.DCE,20171201,20180323
Y,Y1809.DCE,20180326,20180725
Y,Y1901.DCE,20180726,20181130
Y,Y1905.DCE,20181203,20190401
Y,Y1909.DCE,20190402,20190731
Y,Y2001.DCE,20190801,20191120
Y,Y2005.DCE,20191121,20200318
Y,Y2009.DCE,20200319,20200805
Y,Y2101.DCE,20200806,20201211
Y,Y2105.DCE,20201214,20210409
Y,Y2109.DCE,20210412,20210816
Y,Y2201.DCE,20210817,20211209
Y,Y2205.DCE,20211210,20220324
Y,Y2209.DCE,20220325,20220817
Y,Y2301.DCE,20220818,20221213
Y,Y2305.DCE,20221214,20230417
Y,Y2309.DCE,20230418,20230815
Y,Y2401.DCE,20230816,20231212
Y,Y2405.DCE,20231213,20240403
Y,Y2409.DCE,20240408,20240628
