symbol,contract,start,end
ZC,TC401.CZC,20130926,20131107
ZC,TC405.CZC,20131108,20140324
ZC,TC409.CZC,20140325,20140731
ZC,TC501.CZC,20140801,20141225
ZC,TC505.CZC,20141226,20150402
ZC,TC509.CZC,20150403,20150721
ZC,TC601.CZC,20150722,20151106
ZC,ZC605.CZC,20151109,20160406
ZC,ZC609.CZC,20160407,20160815
ZC,ZC701.CZC,20160816,20161205
ZC,ZC705.CZC,20161206,20170418
ZC,ZC709.CZC,20170419,20170809
ZC,ZC801.CZC,20170810,20171219
ZC,ZC805.CZC,20171220,20180412
ZC,ZC809.CZC,20180413,20180808
ZC,ZC901.CZC,20180809,20181205
ZC,ZC905.CZC,20181206,20190418
ZC,ZC909.CZC,20190419,20190819
ZC,ZC911.CZC,20190820,20190912
ZC,ZC001.CZC,20190916,20191210
ZC,ZC005.CZC,20191211,20200327
ZC,ZC009.CZC,20200330,20200819
ZC,ZC011.CZC,20200820,20201020
ZC,ZC101.CZC,20201021,20201215
ZC,ZC105.CZC,20201216,20210421
ZC,ZC109.CZC,20210422,20210812
ZC,ZC201.CZC,20210813,20211206
ZC,ZC205.CZC,20211207,20220505
ZC,ZC209.CZC,20220506,20220902
ZC,ZC210.CZC,20220905,20220906
ZC,ZC301.CZC,20220907,20230106
ZC,ZC302.CZC,20230109,20230206
ZC,ZC303.CZC,20230207,20230306
ZC,ZC304.CZC,20230307,20230407
ZC,ZC305.CZC,20230410,20230509
ZC,ZC306.CZC,20230510,20230606
ZC,ZC307.CZC,20230607,20230706
ZC,ZC308.CZC,20230707,20230804
ZC,ZC309.CZC,20230807,20230906
ZC,ZC310.CZC,20230907,20231012
ZC,ZC311.CZC,20231013,20231106
ZC,ZC312.CZC,20231107,20231206
ZC,ZC401.CZC,20231207,20240105
ZC,ZC402.CZC,20240108,20240206
ZC,ZC403.CZC,20240207,20240306
ZC,ZC404.CZC,20240307,20240408
ZC,ZC405.CZC,20240409,20240509
ZC,ZC406.CZC,20240510,20240606
ZC,ZC407.CZC,20240607,20240628
