symbol,contract,start,end
ZN,ZN1003.SHF,20091127,20091225
ZN,ZN1004.SHF,20091228,20100119
ZN,ZN1005.SHF,20100120,20100224
ZN,ZN1006.SHF,20100225,20100329
ZN,ZN1007.SHF,20100330,20100504
ZN,ZN1008.SHF,20100505,20100526
ZN,ZN1009.SHF,20100527,20100628
ZN,ZN1010.SHF,20100629,20100726
ZN,ZN1011.SHF,20100727,20100813
ZN,ZN1012.SHF,20100816,20100909
ZN,ZN1101.SHF,20100910,20101021
ZN,ZN1102.SHF,20101022,20101116
ZN,ZN1103.SHF,20101117,20101230
ZN,ZN1104.SHF,20101231,20110210
ZN,ZN1105.SHF,20110211,20110316
ZN,ZN1106.SHF,20110317,20110425
ZN,ZN1107.SHF,20110426,20110525
ZN,ZN1108.SHF,20110526,20110623
ZN,ZN1109.SHF,20110624,20110718
ZN,ZN1110.SHF,20110719,20110815
ZN,ZN1111.SHF,20110816,20110920
ZN,ZN1112.SHF,20110921,20111018
ZN,ZN1201.SHF,20111019,20111117
ZN,ZN1202.SHF,20111118,20111214
ZN,ZN1203.SHF,20111215,20120113
ZN,ZN1204.SHF,20120116,20120214
ZN,ZN1205.SHF,20120215,20120307
ZN,ZN1206.SHF,20120308,20120405
ZN,ZN1207.SHF,20120406,20120507
ZN,ZN1208.SHF,20120508,20120525
ZN,ZN1209.SHF,20120528,20120621
ZN,ZN1210.SHF,20120625,20120720
ZN,ZN1211.SHF,20120723,20120816
ZN,ZN1212.SHF,20120817,20120919
ZN,ZN1301.SHF,20120920,20121102
ZN,ZN1302.SHF,20121105,20121206
ZN,ZN1303.SHF,20121207,20130107
ZN,ZN1304.SHF,20130108,20130129
ZN,ZN1305.SHF,20130130,20130305
ZN,ZN1306.SHF,20130306,20130403
ZN,ZN1307.SHF,20130408,20130502
ZN,ZN1308.SHF,20130503,20130521
ZN,ZN1309.SHF,20130522,20130620
ZN,ZN1310.SHF,20130621,20130729
ZN,ZN1311.SHF,20130730,20130819
ZN,ZN1312.SHF,20130820,20131009
ZN,ZN1401.SHF,20131010,20131114
ZN,ZN1402.SHF,20131115,20131217
ZN,ZN1403.SHF,20131218,20140115
ZN,ZN1404.SHF,20140116,20140219
ZN,ZN1405.SHF,20140220,20140318
ZN,ZN1406.SHF,20140319,20140417
ZN,ZN1407.SHF,20140418,20140527
ZN,ZN1408.SHF,20140528,20140620
ZN,ZN1409.SHF,20140623,20140722
ZN,ZN1410.SHF,20140723,20140826
ZN,ZN1411.SHF,20140827,20140923
ZN,ZN1412.SHF,20140924,20141028
ZN,ZN1501.SHF,20141029,20141128
ZN,ZN1502.SHF,20141201,20141224
ZN,ZN1503.SHF,20141225,20150126
ZN,ZN1504.SHF,20150127,20150225
ZN,ZN1505.SHF,20150226,20150323
ZN,ZN1506.SHF,20150324,20150422
ZN,ZN1507.SHF,20150423,20150525
ZN,ZN1508.SHF,20150526,20150625
ZN,ZN1509.SHF,20150626,20150728
ZN,ZN1510.SHF,20150729,20150828
ZN,ZN1511.SHF,20150831,20150925
ZN,ZN1512.SHF,20150928,20151029
ZN,ZN1601.SHF,20151030,20151125
ZN,ZN1602.SHF,20151126,20151229
ZN,ZN1603.SHF,20151230,20160201
ZN,ZN1604.SHF,20160202,20160301
ZN,ZN1605.SHF,20160302,20160328
ZN,ZN1606.SHF,20160329,20160429
ZN,ZN1607.SHF,20160503,20160531
ZN,ZN1608.SHF,20160601,20160629
ZN,ZN1609.SHF,20160630,20160728
ZN,ZN1610.SHF,20160729,20160830
ZN,ZN1611.SHF,20160831,20160930
ZN,ZN1612.SHF,20161010,20161028
ZN,ZN1701.SHF,20161031,20161129
ZN,ZN1702.SHF,20161130,20161227
ZN,ZN1703.SHF,20161228,20170210
ZN,ZN1704.SHF,20170213,20170303
ZN,ZN1705.SHF,20170306,20170406
ZN,ZN1706.SHF,20170407,20170505
ZN,ZN1707.SHF,20170508,20170606
ZN,ZN1708.SHF,20170607,20170704
ZN,ZN1709.SHF,20170705,20170804
ZN,ZN1710.SHF,20170807,20170904
ZN,ZN1711.SHF,20170905,20171010
ZN,ZN1712.SHF,20171011,20171101
ZN,ZN1801.SHF,20171102,20171204
ZN,ZN1802.SHF,20171205,20180103
ZN,ZN1803.SHF,20180104,20180205
ZN,ZN1804.SHF,20180206,20180302
ZN,ZN1805.SHF,20180305,20180402
ZN,ZN1806.SHF,20180403,20180503
ZN,ZN1807.SHF,20180504,20180607
ZN,ZN1808.SHF,20180608,20180705
ZN,ZN1809.SHF,20180706,20180806
ZN,ZN1810.SHF,20180807,20180905
ZN,ZN1811.SHF,20180906,20181018
ZN,ZN1812.SHF,20181019,20181101
ZN,ZN1901.SHF,20181102,20181130
ZN,ZN1902.SHF,20181203,20190104
ZN,ZN1903.SHF,20190107,20190215
ZN,ZN1904.SHF,20190218,20190306
ZN,ZN1905.SHF,20190307,20190410
ZN,ZN1906.SHF,20190411,20190507
ZN,ZN1907.SHF,20190508,20190605
ZN,ZN1908.SHF,20190606,20190704
ZN,ZN1909.SHF,20190705,20190807
ZN,ZN1910.SHF,20190808,20190905
ZN,ZN1911.SHF,20190906,20191011
ZN,ZN1912.SHF,20191014,20191108
ZN,ZN2001.SHF,20191111,20191204
ZN,ZN2002.SHF,20191205,20200103
ZN,ZN2003.SHF,20200106,20200207
ZN,ZN2004.SHF,20200210,20200302
ZN,ZN2005.SHF,20200303,20200402
ZN,ZN2006.SHF,20200403,20200508
ZN,ZN2007.SHF,20200511,20200619
ZN,ZN2008.SHF,20200622,20200721
ZN,ZN2009.SHF,20200722,20200821
ZN,ZN2010.SHF,20200824,20200923
ZN,ZN2011.SHF,20200924,20201027
ZN,ZN2012.SHF,20201028,20201124
ZN,ZN2101.SHF,20201125,20201221
ZN,ZN2102.SHF,20201222,20210115
ZN,ZN2103.SHF,20210118,20210223
ZN,ZN2104.SHF,20210224,20210319
ZN,ZN2105.SHF,20210322,20210420
ZN,ZN2106.SHF,20210421,20210521
ZN,ZN2107.SHF,20210524,20210624
ZN,ZN2108.SHF,20210625,20210726
ZN,ZN2109.SHF,20210727,20210823
ZN,ZN2110.SHF,20210824,20210924
ZN,ZN2111.SHF,20210927,20211025
ZN,ZN2112.SHF,20211026,20211115
ZN,ZN2201.SHF,20211116,20211222
ZN,ZN2202.SHF,20211223,20220119
ZN,ZN2203.SHF,20220120,20220221
ZN,ZN2204.SHF,20220222,20220318
ZN,ZN2205.SHF,20220321,20220421
ZN,ZN2206.SHF,20220422,20220525
ZN,ZN2207.SHF,20220526,20220624
ZN,ZN2208.SHF,20220627,20220726
ZN,ZN2209.SHF,20220727,20220826
ZN,ZN2210.SHF,20220829,20220927
ZN,ZN2211.SHF,20220928,20221026
ZN,ZN2212.SHF,20221027,20221124
ZN,ZN2301.SHF,20221125,20221223
ZN,ZN2302.SHF,20221226,20230118
ZN,ZN2303.SHF,20230119,20230222
ZN,ZN2304.SHF,20230223,20230321
ZN,ZN2305.SHF,20230322,20230420
ZN,ZN2306.SHF,20230421,20230522
ZN,ZN2307.SHF,20230523,20230627
ZN,ZN2308.SHF,20230628,20230720
ZN,ZN2309.SHF,20230721,20230821
ZN,ZN2310.SHF,20230822,20230922
ZN,ZN2311.SHF,20230925,20231025
ZN,ZN2312.SHF,20231026,20231120
ZN,ZN2401.SHF,20231121,20231215
ZN,ZN2402.SHF,20231218,20240116
ZN,ZN2403.SHF,20240117,20240220
ZN,ZN2404.SHF,20240221,20240315
ZN,ZN2405.SHF,20240318,20240410
ZN,ZN2406.SHF,20240411,20240516
ZN,ZN2407.SHF,20240517,20240617
ZN,ZN2408.SHF,20240618,20240628
