S_INFO_WINDCODE,名称
ZN.SHF,锌
ZC.CZC,动力煤
Y.DCE,大豆原油
WT.CZC,硬白小麦
WS.CZC,优质强筋小麦
WR.SHF,线材
WH.CZC,优质强筋小麦
V.DCE,聚氯乙烯
UR.CZC,尿素
TS.CFE,2年期国债期货
TL.CFE,30年期国债期货
TF.CFE,5年期国债期货
TC.CZC,动力煤
TA.CZC,精对苯二甲酸(PTA)
T.CFE,10年期国债期货
SS.SHF,不锈钢
SR.CZC,白砂糖
SP.SHF,漂白硫酸盐针叶木浆
SN.SHF,锡
SM.CZC,锰硅
SI.GFE,工业硅
SH.CZC,烧碱
SF.CZC,硅铁
SCTAS.INE,原油期货TAS指令
SC.INE,中质含硫原油
SA.CZC,纯碱
RU.SHF,天然橡胶
RS.CZC,油菜籽
RR.DCE,粳米
RO.CZC,菜籽油
RM.CZC,菜籽粕
RI.CZC,早籼稻
RB.SHF,螺纹钢
PX.CZC,对二甲苯
PP.DCE,聚丙烯
PM.CZC,普通小麦
PK.CZC,花生仁
PG.DCE,液化石油气(LPG)
PF.CZC,涤纶短纤
PB.SHF,铅
P.DCE,棕榈油
OI.CZC,菜籽油
NR.INE,20号胶
NI.SHF,镍
ME.CZC,甲醇
MA.CZC,甲醇
M.DCE,豆粕
LU.INE,低硫燃料油
LR.CZC,晚籼稻
LH.DCE,生猪
LC.GFE,碳酸锂
L.DCE,线型低密度聚乙烯
JR.CZC,粳稻谷
JM.DCE,焦煤
JD.DCE,鲜鸡蛋
J.DCE,冶金焦炭
IM.CFE,中证1000股指期货
IH.CFE,上证50股指期货
IF.CFE,沪深300期货
IC.CFE,中证500股指期货
I.DCE,铁矿石
HC.SHF,热轧卷板
FU.SHF,燃料油
FG.CZC,平板玻璃
FB.DCE,纤维板
ER.CZC,早籼稻
EG.DCE,乙二醇
EC.INE,集运指数(欧线)
EB.DCE,苯乙烯
CY.CZC,棉纱
CU.SHF,阴极铜
CS.DCE,玉米淀粉
CJ.CZC,干制红枣
CF.CZC,一号棉花
C.DCE,黄玉米
BU.SHF,石油沥青
BR.SHF,丁二烯橡胶
BC.INE,国际铜
BB.DCE,细木工板
B.DCE,黄大豆2号
AU.SHF,黄金
AP.CZC,鲜苹果
AO.SHF,氧化铝
AL.SHF,铝
AG.SHF,白银
A.DCE,黄大豆1号
